"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"OG0000000",0,NA,NA,NA,NA
"OG0000001",0,NA,NA,NA,NA
"OG0000002",0.00592481585574844,-0.0113093650643942,1.01866565082108,0.0670077521130135,0.0896998356558392
"OG0000004",0,NA,NA,NA,NA
"OG0000005",0,NA,NA,NA,NA
"OG0000006",0.00668440763212645,-0.0108812746235248,1.01861413579393,0.0695382213286558,0.0896998356558392
"OG0000007",0.00273453039496082,-0.014110117653031,1.01892409533241,0.0548021362187412,0.0896998356558392
"OG0000008",0,NA,NA,NA,NA
"OG0000010",0,NA,NA,NA,NA
"OG0000011",0,NA,NA,NA,NA
"OG0000012",0,NA,NA,NA,NA
"OG0000014",0,NA,NA,NA,NA
"OG0000016",0,NA,NA,NA,NA
"OG0000018",0,NA,NA,NA,NA
"OG0000019",0,NA,NA,NA,NA
"OG0000021",0,NA,NA,NA,NA
"OG0000022",0,NA,NA,NA,NA
"OG0000023",0,NA,NA,NA,NA
"OG0000025",0,NA,NA,NA,NA
"OG0000027",0,NA,NA,NA,NA
"OG0000030",0,NA,NA,NA,NA
"OG0000033",0,NA,NA,NA,NA
"OG0000034",0,NA,NA,NA,NA
"OG0000035",0,NA,NA,NA,NA
"OG0000037",0,NA,NA,NA,NA
"OG0000038",0,NA,NA,NA,NA
"OG0000039",0,NA,NA,NA,NA
"OG0000041",0,NA,NA,NA,NA
"OG0000042",0,NA,NA,NA,NA
"OG0000043",0,NA,NA,NA,NA
"OG0000044",0,NA,NA,NA,NA
"OG0000045",0,NA,NA,NA,NA
"OG0000048",0,NA,NA,NA,NA
"OG0000049",0.00303836710551202,-0.0117786189177277,1.01885909413456,0.0561078229978545,0.0896998356558392
"OG0000050",0,NA,NA,NA,NA
"OG0000052",0,NA,NA,NA,NA
"OG0000053",0,NA,NA,NA,NA
"OG0000054",0,NA,NA,NA,NA
"OG0000055",0,NA,NA,NA,NA
"OG0000056",0,NA,NA,NA,NA
"OG0000058",0,NA,NA,NA,NA
"OG0000059",0,NA,NA,NA,NA
"OG0000060",0,NA,NA,NA,NA
"OG0000061",0,NA,NA,NA,NA
"OG0000062",0,NA,NA,NA,NA
"OG0000064",0,NA,NA,NA,NA
"OG0000066",0,NA,NA,NA,NA
"OG0000067",0,NA,NA,NA,NA
"OG0000068",0,NA,NA,NA,NA
"OG0000070",0,NA,NA,NA,NA
"OG0000071",0,NA,NA,NA,NA
"OG0000072",0,NA,NA,NA,NA
"OG0000073",0,NA,NA,NA,NA
"OG0000074",0,NA,NA,NA,NA
"OG0000075",0,NA,NA,NA,NA
"OG0000077",0,NA,NA,NA,NA
"OG0000078",0,NA,NA,NA,NA
"OG0000079",0,NA,NA,NA,NA
"OG0000081",0,NA,NA,NA,NA
"OG0000082",0,NA,NA,NA,NA
"OG0000083",0,NA,NA,NA,NA
"OG0000084",0,NA,NA,NA,NA
"OG0000085",0,NA,NA,NA,NA
"OG0000088",0,NA,NA,NA,NA
"OG0000089",0.00653248927685085,-0.0109648945918338,1.01862429043202,0.069041016232967,0.0896998356558392
"OG0000090",0,NA,NA,NA,NA
"OG0000091",0,NA,NA,NA,NA
"OG0000093",0,NA,NA,NA,NA
"OG0000094",0,NA,NA,NA,NA
"OG0000095",0,NA,NA,NA,NA
"OG0000096",0,NA,NA,NA,NA
"OG0000097",0,NA,NA,NA,NA
"OG0000098",0.00668440763212645,-0.0108812746235248,1.01861413579393,0.0695382213286558,0.0896998356558392
"OG0000099",0,NA,NA,NA,NA
"OG0000100",0,NA,NA,NA,NA
"OG0000102",0,NA,NA,NA,NA
"OG0000103",0,NA,NA,NA,NA
"OG0000104",0,NA,NA,NA,NA
"OG0000107",0,NA,NA,NA,NA
"OG0000108",0,NA,NA,NA,NA
"OG0000109",0,NA,NA,NA,NA
"OG0000110",0,NA,NA,NA,NA
"OG0000111",0,NA,NA,NA,NA
"OG0000112",0,NA,NA,NA,NA
"OG0000113",0,NA,NA,NA,NA
"OG0000115",0,NA,NA,NA,NA
"OG0000117",0,NA,NA,NA,NA
"OG0000118",0,NA,NA,NA,NA
"OG0000120",0,NA,NA,NA,NA
"OG0000121",0,NA,NA,NA,NA
"OG0000122",0,NA,NA,NA,NA
"OG0000123",0,NA,NA,NA,NA
"OG0000124",0,NA,NA,NA,NA
"OG0000125",0,NA,NA,NA,NA
"OG0000127",0,NA,NA,NA,NA
"OG0000128",0,NA,NA,NA,NA
"OG0000131",0,NA,NA,NA,NA
"OG0000132",0,NA,NA,NA,NA
"OG0000133",0,NA,NA,NA,NA
"OG0000136",0,NA,NA,NA,NA
"OG0000137",0,NA,NA,NA,NA
"OG0000138",0,NA,NA,NA,NA
"OG0000139",0,NA,NA,NA,NA
"OG0000140",0,NA,NA,NA,NA
"OG0000141",0.00394987723716563,-0.012668970736449,1.01881239801525,0.0598147563588851,0.0896998356558392
"OG0000143",0,NA,NA,NA,NA
"OG0000144",0,NA,NA,NA,NA
"OG0000145",0,NA,NA,NA,NA
"OG0000148",0,NA,NA,NA,NA
"OG0000149",0,NA,NA,NA,NA
"OG0000151",0,NA,NA,NA,NA
"OG0000152",0,NA,NA,NA,NA
"OG0000154",0,NA,NA,NA,NA
"OG0000155",0,NA,NA,NA,NA
"OG0000156",0,NA,NA,NA,NA
"OG0000157",0,NA,NA,NA,NA
"OG0000158",0,NA,NA,NA,NA
"OG0000159",0,NA,NA,NA,NA
"OG0000160",0,NA,NA,NA,NA
"OG0000162",0,NA,NA,NA,NA
"OG0000164",0,NA,NA,NA,NA
"OG0000165",0,NA,NA,NA,NA
"OG0000166",0,NA,NA,NA,NA
"OG0000167",0,NA,NA,NA,NA
"OG0000168",0,NA,NA,NA,NA
"OG0000169",0,NA,NA,NA,NA
"OG0000170",0.0219182983791713,-0.00686891442967825,1.01804651030744,0.0909199635570492,0.097019375464763
"OG0000171",0,NA,NA,NA,NA
"OG0000173",0,NA,NA,NA,NA
"OG0000175",0,NA,NA,NA,NA
"OG0000177",0,NA,NA,NA,NA
"OG0000178",0,NA,NA,NA,NA
"OG0000180",0,NA,NA,NA,NA
"OG0000182",0,NA,NA,NA,NA
"OG0000183",0,NA,NA,NA,NA
"OG0000185",0,NA,NA,NA,NA
"OG0000186",0,NA,NA,NA,NA
"OG0000188",0,NA,NA,NA,NA
"OG0000189",0,NA,NA,NA,NA
"OG0000190",0,NA,NA,NA,NA
"OG0000191",0,NA,NA,NA,NA
"OG0000192",0,NA,NA,NA,NA
"OG0000193",0,NA,NA,NA,NA
"OG0000194",0,NA,NA,NA,NA
"OG0000195",0,NA,NA,NA,NA
"OG0000197",0,NA,NA,NA,NA
"OG0000199",0,NA,NA,NA,NA
"OG0000200",0,NA,NA,NA,NA
"OG0000201",0,NA,NA,NA,NA
"OG0000202",0,NA,NA,NA,NA
"OG0000204",0,NA,NA,NA,NA
"OG0000205",0,NA,NA,NA,NA
"OG0000206",0,NA,NA,NA,NA
"OG0000207",0,NA,NA,NA,NA
"OG0000208",0,NA,NA,NA,NA
"OG0000209",0,NA,NA,NA,NA
"OG0000210",0,NA,NA,NA,NA
"OG0000214",0,NA,NA,NA,NA
"OG0000216",0,NA,NA,NA,NA
"OG0000218",0,NA,NA,NA,NA
"OG0000219",0,NA,NA,NA,NA
"OG0000220",0,NA,NA,NA,NA
"OG0000224",0,NA,NA,NA,NA
"OG0000225",0,NA,NA,NA,NA
"OG0000226",0.00197493861858281,-0.0149285042035328,1.01899903162658,0.0513519514538254,0.0896998356558392
"OG0000227",0,NA,NA,NA,NA
"OG0000228",0,NA,NA,NA,NA
"OG0000229",0,NA,NA,NA,NA
"OG0000230",0,NA,NA,NA,NA
"OG0000231",0,NA,NA,NA,NA
"OG0000233",0,NA,NA,NA,NA
"OG0000234",0,NA,NA,NA,NA
"OG0000235",0,NA,NA,NA,NA
"OG0000236",0,NA,NA,NA,NA
"OG0000240",0,NA,NA,NA,NA
"OG0000241",0,NA,NA,NA,NA
"OG0000242",0,NA,NA,NA,NA
"OG0000243",0,NA,NA,NA,NA
"OG0000244",0.00455755065826803,-0.0121889675880078,1.01876453459865,0.0621363417619194,0.0896998356558392
"OG0000247",0,NA,NA,NA,NA
"OG0000249",0,NA,NA,NA,NA
"OG0000250",0,NA,NA,NA,NA
"OG0000251",0,NA,NA,NA,NA
"OG0000253",0,NA,NA,NA,NA
"OG0000255",0,NA,NA,NA,NA
"OG0000257",0,NA,NA,NA,NA
"OG0000258",0,NA,NA,NA,NA
"OG0000259",0,NA,NA,NA,NA
"OG0000260",0,NA,NA,NA,NA
"OG0000261",0,NA,NA,NA,NA
"OG0000262",0,NA,NA,NA,NA
"OG0000264",0,NA,NA,NA,NA
"OG0000265",0,NA,NA,NA,NA
"OG0000266",0,NA,NA,NA,NA
"OG0000268",0,NA,NA,NA,NA
"OG0000269",0,NA,NA,NA,NA
"OG0000270",0,NA,NA,NA,NA
"OG0000271",0,NA,NA,NA,NA
"OG0000272",0,NA,NA,NA,NA
"OG0000273",0,NA,NA,NA,NA
"OG0000274",0,NA,NA,NA,NA
"OG0000276",0,NA,NA,NA,NA
"OG0000277",0,NA,NA,NA,NA
"OG0000278",0,NA,NA,NA,NA
"OG0000279",0,NA,NA,NA,NA
"OG0000280",0,NA,NA,NA,NA
"OG0000282",0,NA,NA,NA,NA
"OG0000284",0,NA,NA,NA,NA
