"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"OG0000000",57.0423502726279,-0.0991924451732247,0.921563728911663,0.79721602341406,0.869690207360793
"OG0000001",505.898652091839,0.509573851178849,1.21136692370752,0.0226182427572604,0.0842334557856595
"OG0000002",33.9536344737521,0.090375729673799,0.937252393769028,0.823518676894893,0.889400171046485
"OG0000003",41.65337713607,-0.207973244915256,0.987030692991345,0.532412283462219,0.660925593263445
"OG0000004",17.8463443620136,-0.0804265168454744,0.950226394661624,0.81427245022839,NA
"OG0000005",14.4182964398881,-0.0127503854928323,0.954292018397866,0.961804153295313,NA
"OG0000006",51.7707817275286,-0.0279576114129095,0.933756823509306,0.929210639242893,0.964949509983005
"OG0000007",11.3783459267628,-0.416809310679468,1.13190762148372,0.108995673993438,NA
"OG0000008",9.94000994543838,-0.0597207985368799,0.949303993449082,0.862642157463463,NA
"OG0000009",440.2203929983,0.404442929382087,1.13573412557757,NA,NA
"OG0000010",3.32811125993682,-0.0422403904631433,0.976671171770672,0.93769477862041,NA
"OG0000011",12.4063937762854,-0.066389654688907,0.948679849433981,0.84852989879758,NA
"OG0000012",464.76028134706,0.478694981134553,1.19333959907107,NA,NA
"OG0000013",8.47278396798633,0.128502566382893,0.956481484311283,0.72999704811626,NA
"OG0000014",393.159157937099,0.622430285724124,1.3196037185949,0.0113783431216783,0.0477278818431133
"OG0000015",3.17780843197755,0.0982155220517354,0.995454448481932,0.665448067539897,NA
"OG0000016",8.86831980006482,-0.186187216459104,0.992437603988472,0.402581833132099,NA
"OG0000017",2.13127711174999,-0.174979324421188,1.03072279076869,0.597795260433998,NA
"OG0000018",323.418158058764,0.513357637360554,1.13578232215512,0.171449808124897,0.36719741523749
"OG0000019",0.0539436866693052,-0.0481481321396874,1.01316104981169,0.42291727497293,NA
"OG0000020",511.790659481348,0.539256849268157,1.12938505087119,0.185492137791922,0.36719741523749
"OG0000021",10.965196847386,-0.291782900349268,1.07391625986438,0.181359802280244,NA
"OG0000022",241.501169881736,0.701273381154587,1.37732821253395,NA,NA
"OG0000023",8.18619636564197,-0.375471100326249,1.10564035722039,0.163227330559725,NA
"OG0000024",7.21799798854161,-0.268060568489412,1.06201201647266,0.257455775034619,NA
"OG0000025",11.6058651646677,-0.00855316286314186,0.964541434988735,0.969991332136398,NA
"OG0000026",307.279964981988,0.53558891935664,1.22990165558465,NA,NA
"OG0000027",19.5139299903437,-0.200325663973368,0.992970933289908,0.506105281922178,NA
"OG0000028",7.96010099919094,0.0535445452216606,0.979569980011411,0.859788495387002,NA
"OG0000030",18.143493566868,0.200181807168779,1.00444805785606,0.499218919665895,NA
"OG0000031",21.0341639728536,-0.175543802926833,0.944902485097606,0.647269080972262,NA
"OG0000032",3.20649221003676,0.0910743340418931,0.996532518495955,0.809452673569135,NA
"OG0000033",18.1620116307809,-0.0663809807436836,0.93813946562679,0.852394324684231,NA
"OG0000034",52.4649504072018,0.106558254647246,0.95842790569206,0.773137143124724,0.852028688341533
"OG0000035",0,NA,NA,NA,NA
"OG0000036",3.71612028521408,-0.292783517424509,1.06257634063001,0.347745447229418,NA
"OG0000037",17.1822435563319,0.038162048597064,0.954924171093065,0.920712445652813,NA
"OG0000038",14.3292120189096,0.088965024505513,0.971535117679854,0.788050137344823,NA
"OG0000039",6.36585375147503,-0.259449011094178,1.05819053579942,0.284847330393673,NA
"OG0000040",42.9310186966834,-0.259331657648773,0.998594147792476,0.440561284715205,0.617930113626521
"OG0000041",16.5235056648103,0.0819717689491108,0.974989835303313,0.794939297461073,NA
"OG0000042",3.72211438018206,-0.184460953676272,1.03603670865893,0.46930746505796,NA
"OG0000043",0,NA,NA,NA,NA
"OG0000044",7.41581801235513,0.105938641607423,0.976423078065044,0.741783227199947,NA
"OG0000045",986.412054057856,1.10934070078269,2.27245984836399,0.00440005431494187,0.0237831494142124
"OG0000046",1.18676110672471,-0.148957249216727,1.02387561032312,0.766569793520731,NA
"OG0000047",23.8148305546636,0.196797376861137,1.01046240687467,0.481514907197537,NA
"OG0000048",29.7814232618897,-0.235836730920543,0.991219566142149,0.478572775836966,NA
"OG0000049",146.638193853531,0.580196081430981,1.25506740963282,0.0430666490938919,0.128012388759586
"OG0000050",12.770468954118,-0.352550514289417,1.06597559639864,0.233218669184753,NA
"OG0000051",12.0329211847361,-0.060566632432843,0.975779155219424,0.823361985437122,NA
"OG0000052",10.5931193286405,-0.438035486789006,1.1346627386839,0.14449647404384,NA
"OG0000053",18.0927174281729,0.0791211450082761,0.970766399228247,0.81185758913447,NA
"OG0000054",4.24711225510343,-0.0625957993181966,0.985244018277403,0.862264051619626,NA
"OG0000055",4.53085083568027,-0.31351188653437,1.07198482179061,0.293470289318197,NA
"OG0000056",0.46885734232167,-0.115860714234633,1.01731978488921,0.962619491757393,NA
"OG0000057",84.0191477687478,0.272133529128242,1.07437509493792,2.86414289000417e-11,3.0932743212045e-09
"OG0000058",17.4596775049356,0.249352433895644,1.03543811484608,NA,NA
"OG0000059",0,NA,NA,NA,NA
"OG0000060",4.04942808341199,-0.214331468715699,1.04266379783453,0.414811789804851,NA
"OG0000061",239.274290254846,0.33664278648926,1.0408065298736,0.327095497779208,0.490643246668812
"OG0000062",5.14280231202134,-0.246610548888579,1.05264202654446,0.334212096577838,NA
"OG0000063",11.5215184164834,-0.210182551100937,1.00723476019887,0.337250078381742,NA
"OG0000064",18.7892981292283,0.0376700044039892,0.941277770901712,0.927581426948355,NA
"OG0000065",324.868687733491,0.471148870847972,1.1827458724091,NA,NA
"OG0000066",430.531125218242,0.342313150734155,1.10711073125213,NA,NA
"OG0000067",7.17350663492506,-0.261703806202591,1.05951754640865,0.258355377238026,NA
"OG0000068",0,NA,NA,NA,NA
"OG0000069",5.99338601823508,0.0613316358694908,0.981136151488639,0.836395662792026,NA
"OG0000070",2.59178714475332,-0.174392446822471,1.03195365258179,0.556346254193765,NA
"OG0000071",0,NA,NA,NA,NA
"OG0000072",4.02359895079395,-0.230834378001139,1.04642097345135,0.396564000708676,NA
"OG0000073",4.01564751007633,0.0283668695623172,0.987041120323513,0.966153610669175,NA
"OG0000074",16.6404286944549,0.170056453177585,0.994466239993448,0.579650098505398,NA
"OG0000076",0.921524318134514,-0.139806975679414,1.02166785872176,0.839810438460336,NA
"OG0000077",4.2076075602058,-0.187506440106361,1.0373894243111,NA,NA
"OG0000078",0,NA,NA,NA,NA
"OG0000079",8.43336719884896,-0.273412335330184,1.06511719979614,0.229742241216305,NA
"OG0000080",0,NA,NA,NA,NA
"OG0000081",10.854232924683,-0.018367021939406,0.964141976982561,0.946280076352709,NA
"OG0000082",0,NA,NA,NA,NA
