"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"OG0000000",0.110039439193157,1.23907072046951e-07,0.00144269500027322,0.573860177204735,0.750353249483874
"OG0000001",0.482480618000766,1.82332337577127e-07,0.0014426950187522,0.393020763206652,0.750353249483874
"OG0000002",0,NA,NA,NA,NA
"OG0000003",0,NA,NA,NA,NA
"OG0000004",0,NA,NA,NA,NA
"OG0000005",0,NA,NA,NA,NA
"OG0000006",0.143897728175667,1.11425593119135e-07,0.00144269500293605,0.543378650502412,0.750353249483874
"OG0000007",0.363976606561982,1.74227133723817e-07,0.00144269501451109,0.428765475391104,0.750353249483874
"OG0000008",0,NA,NA,NA,NA
"OG0000009",0,NA,NA,NA,NA
"OG0000010",0.397834895544491,1.76195705497941e-07,0.00144269501584327,0.41746745959525,0.750353249483874
"OG0000011",0,NA,NA,NA,NA
"OG0000012",0,NA,NA,NA,NA
"OG0000013",0,NA,NA,NA,NA
"OG0000014",0,NA,NA,NA,NA
"OG0000015",0,NA,NA,NA,NA
"OG0000016",0,NA,NA,NA,NA
"OG0000018",0,NA,NA,NA,NA
"OG0000019",0,NA,NA,NA,NA
"OG0000020",0,NA,NA,NA,NA
"OG0000021",0,NA,NA,NA,NA
"OG0000022",0,NA,NA,NA,NA
"OG0000023",0,NA,NA,NA,NA
"OG0000024",0,NA,NA,NA,NA
"OG0000025",0,NA,NA,NA,NA
"OG0000026",0,NA,NA,NA,NA
"OG0000027",0.262401739614452,1.71426496975904e-07,0.00144269501015007,0.470165947713958,0.750353249483874
"OG0000028",0,NA,NA,NA,NA
"OG0000029",0.304724600842589,1.68974347717412e-07,0.0014426950118715,0.451304342780903,0.750353249483874
"OG0000030",0.262401739614452,1.71426496975904e-07,0.00144269501015007,0.470165947713958,0.750353249483874
"OG0000031",0,NA,NA,NA,NA
"OG0000032",0,NA,NA,NA,NA
"OG0000033",0,NA,NA,NA,NA
"OG0000034",0.110039439193157,1.23907072046951e-07,0.00144269500027322,0.573860177204735,0.750353249483874
"OG0000035",0,NA,NA,NA,NA
"OG0000036",0,NA,NA,NA,NA
"OG0000037",0,NA,NA,NA,NA
"OG0000038",0,NA,NA,NA,NA
"OG0000039",0.118504011438785,1.30956606077165e-07,0.00144269500077455,0.565616405463383,0.750353249483874
"OG0000040",0.0253937167368824,7.11580491550986e-08,0.00144269500144577,0.700039414426416,0.750353249483874
"OG0000041",0,NA,NA,NA,NA
"OG0000042",0.186220589403805,1.56521225209619e-07,0.00144269500548259,0.512627234652629,0.750353249483874
"OG0000043",0.211614306140687,1.55429658347678e-07,0.00144269500675818,0.496967667373038,0.750353249483874
"OG0000044",0,NA,NA,NA,NA
"OG0000045",0,NA,NA,NA,NA
"OG0000046",0,NA,NA,NA,NA
"OG0000047",0,NA,NA,NA,NA
"OG0000048",0,NA,NA,NA,NA
"OG0000049",0,NA,NA,NA,NA
"OG0000051",0,NA,NA,NA,NA
"OG0000052",0,NA,NA,NA,NA
"OG0000053",0,NA,NA,NA,NA
"OG0000054",0,NA,NA,NA,NA
"OG0000055",0,NA,NA,NA,NA
"OG0000056",0.0338582889825099,8.22892075435628e-08,0.00144269499962277,0.68138675314749,0.750353249483874
"OG0000057",0,NA,NA,NA,NA
"OG0000058",0,NA,NA,NA,NA
"OG0000059",0,NA,NA,NA,NA
"OG0000060",0,NA,NA,NA,NA
"OG0000061",0.0592520057193923,1.07182071163918e-07,0.0014426949980878,0.636341399839471,0.750353249483874
"OG0000062",0,NA,NA,NA,NA
"OG0000063",0,NA,NA,NA,NA
"OG0000064",0.126968583684412,1.15643467437919e-07,0.00144269500159849,0.557816274762737,0.750353249483874
"OG0000065",0,NA,NA,NA,NA
"OG0000066",0,NA,NA,NA,NA
"OG0000067",0,NA,NA,NA,NA
"OG0000068",0,NA,NA,NA,NA
"OG0000069",0,NA,NA,NA,NA
"OG0000070",0,NA,NA,NA,NA
"OG0000071",0,NA,NA,NA,NA
"OG0000072",0.296260028596962,1.71891273891191e-07,0.00144269501168555,0.454867834505738,0.750353249483874
"OG0000074",4.73061200715235,-1.70449360860882e-07,0.00144269503033169,0.245511111570469,0.750353249483874
"OG0000076",0,NA,NA,NA,NA
"OG0000077",0,NA,NA,NA,NA
"OG0000078",0,NA,NA,NA,NA
"OG0000079",0,NA,NA,NA,NA
"OG0000080",0,NA,NA,NA,NA
"OG0000081",0,NA,NA,NA,NA
"OG0000082",0,NA,NA,NA,NA
"OG0000083",0,NA,NA,NA,NA
"OG0000084",0,NA,NA,NA,NA
"OG0000085",0,NA,NA,NA,NA
"OG0000086",0,NA,NA,NA,NA
"OG0000087",0,NA,NA,NA,NA
"OG0000088",0,NA,NA,NA,NA
"OG0000089",0,NA,NA,NA,NA
"OG0000090",0.0592520057193923,1.07182071163918e-07,0.0014426949980878,0.636341399839471,0.750353249483874
"OG0000091",0,NA,NA,NA,NA
"OG0000092",0,NA,NA,NA,NA
"OG0000094",0,NA,NA,NA,NA
"OG0000095",0,NA,NA,NA,NA
"OG0000096",0.457086901263884,1.80817241508355e-07,0.00144269501794081,0.39985902740787,0.750353249483874
"OG0000097",0,NA,NA,NA,NA
"OG0000098",0,NA,NA,NA,NA
"OG0000099",0,NA,NA,NA,NA
"OG0000100",0,NA,NA,NA,NA
"OG0000102",0,NA,NA,NA,NA
"OG0000103",0,NA,NA,NA,NA
"OG0000104",0,NA,NA,NA,NA
"OG0000106",0,NA,NA,NA,NA
"OG0000107",0,NA,NA,NA,NA
"OG0000108",0.16929144491255,1.64761473068331e-07,0.00144269500410903,0.524137429154181,0.750353249483874
"OG0000109",0,NA,NA,NA,NA
"OG0000110",0,NA,NA,NA,NA
"OG0000111",0,NA,NA,NA,NA
"OG0000112",0,NA,NA,NA,NA
"OG0000115",0,NA,NA,NA,NA
"OG0000117",0.550197195965786,1.85582223923127e-07,0.00144269502068644,0.376480956419822,0.750353249483874
"OG0000118",0,NA,NA,NA,NA
"OG0000119",0,NA,NA,NA,NA
"OG0000120",0.211614306140687,1.55429658347678e-07,0.00144269500675818,0.496967667373038,0.750353249483874
"OG0000121",0,NA,NA,NA,NA
"OG0000122",0,NA,NA,NA,NA
"OG0000123",0.203149733895059,1.55065911909786e-07,0.00144269500629987,0.501993493536962,0.750353249483874
"OG0000124",0,NA,NA,NA,NA
"OG0000125",0.262401739614452,1.71426496975904e-07,0.00144269501015007,0.470165947713958,0.750353249483874
"OG0000127",0,NA,NA,NA,NA
"OG0000128",0,NA,NA,NA,NA
"OG0000129",0,NA,NA,NA,NA
"OG0000130",0,NA,NA,NA,NA
"OG0000131",0,NA,NA,NA,NA
"OG0000132",0.160826872666922,1.46358047670542e-07,0.00144269500357181,0.530265766586139,0.750353249483874
"OG0000133",0.143897728175667,1.11425593119135e-07,0.00144269500293605,0.543378650502412,0.750353249483874
"OG0000134",0.0507874334737649,9.9635180472635e-08,0.00144269499820894,0.649898000299616,0.750353249483874
"OG0000135",0,NA,NA,NA,NA
"OG0000136",0,NA,NA,NA,NA
"OG0000137",0,NA,NA,NA,NA
"OG0000138",0,NA,NA,NA,NA
"OG0000139",0,NA,NA,NA,NA
"OG0000140",0,NA,NA,NA,NA
"OG0000141",0,NA,NA,NA,NA
"OG0000142",0,NA,NA,NA,NA
"OG0000143",0,NA,NA,NA,NA
"OG0000145",0,NA,NA,NA,NA
"OG0000148",0,NA,NA,NA,NA
"OG0000149",0,NA,NA,NA,NA
"OG0000151",0,NA,NA,NA,NA
"OG0000152",0.0677165779650198,1.14443697166309e-07,0.00144269499818395,0.623917617913,0.750353249483874
"OG0000153",0,NA,NA,NA,NA
"OG0000155",0,NA,NA,NA,NA
"OG0000156",0,NA,NA,NA,NA
"OG0000157",0,NA,NA,NA,NA
"OG0000158",0,NA,NA,NA,NA
"OG0000160",0,NA,NA,NA,NA
"OG0000161",0,NA,NA,NA,NA
"OG0000162",0,NA,NA,NA,NA
"OG0000163",0,NA,NA,NA,NA
"OG0000164",0,NA,NA,NA,NA
"OG0000165",0,NA,NA,NA,NA
"OG0000166",0,NA,NA,NA,NA
"OG0000170",0,NA,NA,NA,NA
"OG0000171",0,NA,NA,NA,NA
"OG0000173",0.0846457224562748,1.28815037469014e-07,0.0014426949987777,0.601815289283533,0.750353249483874
"OG0000174",0,NA,NA,NA,NA
"OG0000176",0,NA,NA,NA,NA
"OG0000177",0.355512034316354,1.71811090188403e-07,0.00144269501414841,0.431754108437511,0.750353249483874
"OG0000178",0,NA,NA,NA,NA
"OG0000179",0,NA,NA,NA,NA
"OG0000180",0,NA,NA,NA,NA
"OG0000182",0,NA,NA,NA,NA
"OG0000183",0,NA,NA,NA,NA
"OG0000185",0,NA,NA,NA,NA
"OG0000188",0,NA,NA,NA,NA
"OG0000189",0,NA,NA,NA,NA
"OG0000190",0,NA,NA,NA,NA
"OG0000191",0,NA,NA,NA,NA
"OG0000192",0,NA,NA,NA,NA
"OG0000193",0,NA,NA,NA,NA
"OG0000194",0,NA,NA,NA,NA
"OG0000196",0,NA,NA,NA,NA
"OG0000197",0.245472595123197,1.92266442316053e-07,0.00144269501066504,0.47852538201948,0.750353249483874
"OG0000200",0,NA,NA,NA,NA
"OG0000201",0,NA,NA,NA,NA
"OG0000202",0,NA,NA,NA,NA
"OG0000203",0,NA,NA,NA,NA
"OG0000204",0,NA,NA,NA,NA
"OG0000205",0,NA,NA,NA,NA
"OG0000206",0,NA,NA,NA,NA
"OG0000209",0,NA,NA,NA,NA
"OG0000210",0.00846457224562748,3.44105369186862e-08,0.00144269501184105,0.746340665262035,0.750353249483874
"OG0000213",0,NA,NA,NA,NA
"OG0000214",0,NA,NA,NA,NA
"OG0000216",0,NA,NA,NA,NA
"OG0000217",0,NA,NA,NA,NA
"OG0000218",0,NA,NA,NA,NA
"OG0000219",0,NA,NA,NA,NA
"OG0000220",0,NA,NA,NA,NA
"OG0000224",0,NA,NA,NA,NA
"OG0000225",0,NA,NA,NA,NA
"OG0000226",0,NA,NA,NA,NA
"OG0000227",0,NA,NA,NA,NA
"OG0000228",0,NA,NA,NA,NA
"OG0000229",0,NA,NA,NA,NA
"OG0000230",0,NA,NA,NA,NA
"OG0000231",0,NA,NA,NA,NA
"OG0000232",0,NA,NA,NA,NA
"OG0000233",0,NA,NA,NA,NA
"OG0000234",0,NA,NA,NA,NA
"OG0000235",0,NA,NA,NA,NA
"OG0000236",0,NA,NA,NA,NA
"OG0000237",0,NA,NA,NA,NA
"OG0000238",0,NA,NA,NA,NA
"OG0000239",0,NA,NA,NA,NA
"OG0000240",0,NA,NA,NA,NA
"OG0000241",0,NA,NA,NA,NA
"OG0000242",0,NA,NA,NA,NA
"OG0000243",0,NA,NA,NA,NA
"OG0000244",0,NA,NA,NA,NA
"OG0000245",0,NA,NA,NA,NA
"OG0000247",0,NA,NA,NA,NA
"OG0000248",0,NA,NA,NA,NA
"OG0000249",0.16929144491255,1.64761473068331e-07,0.00144269500410903,0.524137429154181,0.750353249483874
"OG0000250",0,NA,NA,NA,NA
"OG0000251",0,NA,NA,NA,NA
"OG0000253",0,NA,NA,NA,NA
"OG0000254",0,NA,NA,NA,NA
"OG0000255",0,NA,NA,NA,NA
"OG0000257",0,NA,NA,NA,NA
"OG0000258",0,NA,NA,NA,NA
"OG0000259",0,NA,NA,NA,NA
"OG0000260",0,NA,NA,NA,NA
"OG0000261",0,NA,NA,NA,NA
"OG0000262",0,NA,NA,NA,NA
"OG0000264",0,NA,NA,NA,NA
"OG0000265",0,NA,NA,NA,NA
"OG0000266",0.0253937167368824,7.11580491550986e-08,0.00144269500144577,0.700039414426416,0.750353249483874
"OG0000268",0,NA,NA,NA,NA
"OG0000270",0,NA,NA,NA,NA
"OG0000271",0,NA,NA,NA,NA
"OG0000272",0,NA,NA,NA,NA
"OG0000273",0,NA,NA,NA,NA
"OG0000274",0,NA,NA,NA,NA
"OG0000276",0,NA,NA,NA,NA
"OG0000277",0,NA,NA,NA,NA
"OG0000278",0,NA,NA,NA,NA
"OG0000279",0,NA,NA,NA,NA
"OG0000280",0,NA,NA,NA,NA
"OG0000282",0,NA,NA,NA,NA
"OG0000283",0,NA,NA,NA,NA
"OG0000284",0,NA,NA,NA,NA
"OG0000285",0,NA,NA,NA,NA
"OG0000286",0,NA,NA,NA,NA
"OG0000287",0,NA,NA,NA,NA
"OG0000288",0.220078878386314,1.57893722516852e-07,0.00144269500732497,0.492118736029403,0.750353249483874
"OG0000289",0.296260028596962,1.71891273891191e-07,0.00144269501168555,0.454867834505738,0.750353249483874
"OG0000290",0,NA,NA,NA,NA
"OG0000292",0,NA,NA,NA,NA
"OG0000294",0,NA,NA,NA,NA
"OG0000297",0.490945190246394,1.83110064808116e-07,0.00144269501902462,0.390824268423674,0.750353249483874
"OG0000298",0,NA,NA,NA,NA
"OG0000299",0,NA,NA,NA,NA
"OG0000300",0,NA,NA,NA,NA
"OG0000301",0,NA,NA,NA,NA
"OG0000302",0,NA,NA,NA,NA
"OG0000304",0,NA,NA,NA,NA
"OG0000305",0,NA,NA,NA,NA
"OG0000306",0,NA,NA,NA,NA
"OG0000309",0,NA,NA,NA,NA
"OG0000312",0,NA,NA,NA,NA
"OG0000313",0,NA,NA,NA,NA
"OG0000316",0,NA,NA,NA,NA
"OG0000317",0,NA,NA,NA,NA
"OG0000321",0,NA,NA,NA,NA
"OG0000322",0,NA,NA,NA,NA
"OG0000323",0.380905751053237,1.74813675970129e-07,0.00144269501518828,0.422990505520693,0.750353249483874
"OG0000327",0,NA,NA,NA,NA
"OG0000328",0.0846457224562748,1.28815037469014e-07,0.0014426949987777,0.601815289283533,0.750353249483874
"OG0000329",0,NA,NA,NA,NA
"OG0000331",0,NA,NA,NA,NA
