"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"OG0000000",0,NA,NA,NA,NA
"OG0000001",0,NA,NA,NA,NA
"OG0000002",0,NA,NA,NA,NA
"OG0000003",0,NA,NA,NA,NA
"OG0000004",0,NA,NA,NA,NA
"OG0000005",0,NA,NA,NA,NA
"OG0000006",0,NA,NA,NA,NA
"OG0000007",0,NA,NA,NA,NA
"OG0000008",0,NA,NA,NA,NA
"OG0000009",0,NA,NA,NA,NA
"OG0000010",0,NA,NA,NA,NA
"OG0000011",0,NA,NA,NA,NA
"OG0000012",0,NA,NA,NA,NA
"OG0000013",0,NA,NA,NA,NA
"OG0000014",0,NA,NA,NA,NA
"OG0000015",0,NA,NA,NA,NA
"OG0000016",0,NA,NA,NA,NA
"OG0000018",0,NA,NA,NA,NA
"OG0000019",0,NA,NA,NA,NA
"OG0000020",0,NA,NA,NA,NA
"OG0000021",0,NA,NA,NA,NA
"OG0000022",0,NA,NA,NA,NA
"OG0000023",0,NA,NA,NA,NA
"OG0000024",0,NA,NA,NA,NA
"OG0000025",0,NA,NA,NA,NA
"OG0000026",0,NA,NA,NA,NA
"OG0000027",0,NA,NA,NA,NA
"OG0000028",0,NA,NA,NA,NA
"OG0000030",0,NA,NA,NA,NA
"OG0000031",0,NA,NA,NA,NA
"OG0000032",0,NA,NA,NA,NA
"OG0000033",0,NA,NA,NA,NA
"OG0000034",0,NA,NA,NA,NA
"OG0000035",0,NA,NA,NA,NA
"OG0000037",0,NA,NA,NA,NA
"OG0000038",0,NA,NA,NA,NA
"OG0000039",0,NA,NA,NA,NA
"OG0000040",0,NA,NA,NA,NA
"OG0000041",0,NA,NA,NA,NA
"OG0000042",0,NA,NA,NA,NA
"OG0000043",0,NA,NA,NA,NA
"OG0000044",0,NA,NA,NA,NA
"OG0000046",0,NA,NA,NA,NA
"OG0000047",0,NA,NA,NA,NA
"OG0000048",0,NA,NA,NA,NA
"OG0000049",0,NA,NA,NA,NA
"OG0000051",0,NA,NA,NA,NA
"OG0000052",0,NA,NA,NA,NA
"OG0000053",0,NA,NA,NA,NA
"OG0000054",0,NA,NA,NA,NA
"OG0000055",0,NA,NA,NA,NA
"OG0000056",0,NA,NA,NA,NA
"OG0000057",0,NA,NA,NA,NA
"OG0000058",0,NA,NA,NA,NA
"OG0000059",0,NA,NA,NA,NA
"OG0000063",0,NA,NA,NA,NA
"OG0000064",0,NA,NA,NA,NA
"OG0000065",0,NA,NA,NA,NA
"OG0000066",0,NA,NA,NA,NA
"OG0000067",0,NA,NA,NA,NA
"OG0000068",0,NA,NA,NA,NA
"OG0000069",0,NA,NA,NA,NA
"OG0000070",0,NA,NA,NA,NA
"OG0000071",0,NA,NA,NA,NA
"OG0000072",0,NA,NA,NA,NA
"OG0000073",0,NA,NA,NA,NA
"OG0000074",0,NA,NA,NA,NA
"OG0000076",0,NA,NA,NA,NA
"OG0000077",0,NA,NA,NA,NA
"OG0000078",0,NA,NA,NA,NA
"OG0000079",0,NA,NA,NA,NA
"OG0000081",0,NA,NA,NA,NA
"OG0000082",0,NA,NA,NA,NA
"OG0000083",0,NA,NA,NA,NA
"OG0000084",0,NA,NA,NA,NA
"OG0000085",0,NA,NA,NA,NA
"OG0000086",0,NA,NA,NA,NA
"OG0000087",0,NA,NA,NA,NA
"OG0000088",0,NA,NA,NA,NA
"OG0000089",0,NA,NA,NA,NA
"OG0000091",0,NA,NA,NA,NA
"OG0000093",0,NA,NA,NA,NA
"OG0000094",0,NA,NA,NA,NA
"OG0000095",0,NA,NA,NA,NA
"OG0000098",0,NA,NA,NA,NA
"OG0000099",0,NA,NA,NA,NA
"OG0000100",0,NA,NA,NA,NA
"OG0000101",0,NA,NA,NA,NA
"OG0000102",0,NA,NA,NA,NA
"OG0000103",0,NA,NA,NA,NA
"OG0000104",0,NA,NA,NA,NA
"OG0000106",0,NA,NA,NA,NA
"OG0000107",0,NA,NA,NA,NA
"OG0000109",0,NA,NA,NA,NA
"OG0000110",0,NA,NA,NA,NA
"OG0000111",0,NA,NA,NA,NA
"OG0000112",0,NA,NA,NA,NA
"OG0000115",0,NA,NA,NA,NA
"OG0000117",0,NA,NA,NA,NA
"OG0000118",0,NA,NA,NA,NA
"OG0000119",0,NA,NA,NA,NA
"OG0000120",0,NA,NA,NA,NA
"OG0000121",0,NA,NA,NA,NA
"OG0000122",0,NA,NA,NA,NA
"OG0000123",0,NA,NA,NA,NA
"OG0000124",0,NA,NA,NA,NA
"OG0000125",0,NA,NA,NA,NA
"OG0000127",0,NA,NA,NA,NA
"OG0000128",0,NA,NA,NA,NA
"OG0000129",0,NA,NA,NA,NA
"OG0000130",0,NA,NA,NA,NA
"OG0000131",0,NA,NA,NA,NA
"OG0000133",0,NA,NA,NA,NA
"OG0000134",0,NA,NA,NA,NA
"OG0000135",0,NA,NA,NA,NA
"OG0000136",0,NA,NA,NA,NA
"OG0000137",0,NA,NA,NA,NA
"OG0000138",0,NA,NA,NA,NA
"OG0000139",0,NA,NA,NA,NA
"OG0000140",0,NA,NA,NA,NA
"OG0000141",0,NA,NA,NA,NA
"OG0000143",0,NA,NA,NA,NA
"OG0000146",0,NA,NA,NA,NA
"OG0000148",0,NA,NA,NA,NA
"OG0000149",0,NA,NA,NA,NA
"OG0000151",0,NA,NA,NA,NA
"OG0000152",0,NA,NA,NA,NA
"OG0000153",0,NA,NA,NA,NA
"OG0000155",0,NA,NA,NA,NA
"OG0000156",0,NA,NA,NA,NA
"OG0000158",0,NA,NA,NA,NA
"OG0000160",0,NA,NA,NA,NA
"OG0000161",0,NA,NA,NA,NA
"OG0000162",0,NA,NA,NA,NA
"OG0000163",0,NA,NA,NA,NA
"OG0000164",0,NA,NA,NA,NA
"OG0000165",0,NA,NA,NA,NA
"OG0000167",0,NA,NA,NA,NA
"OG0000168",0,NA,NA,NA,NA
"OG0000170",0,NA,NA,NA,NA
"OG0000171",0,NA,NA,NA,NA
"OG0000173",0,NA,NA,NA,NA
"OG0000174",0,NA,NA,NA,NA
"OG0000175",0,NA,NA,NA,NA
"OG0000176",0,NA,NA,NA,NA
"OG0000178",0,NA,NA,NA,NA
"OG0000180",0,NA,NA,NA,NA
"OG0000182",0,NA,NA,NA,NA
"OG0000183",0,NA,NA,NA,NA
"OG0000185",0,NA,NA,NA,NA
"OG0000186",0,NA,NA,NA,NA
"OG0000187",0,NA,NA,NA,NA
"OG0000188",0,NA,NA,NA,NA
"OG0000189",0,NA,NA,NA,NA
"OG0000190",0,NA,NA,NA,NA
"OG0000191",0,NA,NA,NA,NA
"OG0000192",0,NA,NA,NA,NA
"OG0000193",0,NA,NA,NA,NA
"OG0000194",0,NA,NA,NA,NA
"OG0000195",0,NA,NA,NA,NA
"OG0000197",0,NA,NA,NA,NA
"OG0000200",0,NA,NA,NA,NA
"OG0000201",0,NA,NA,NA,NA
"OG0000202",0,NA,NA,NA,NA
"OG0000203",0,NA,NA,NA,NA
"OG0000204",0,NA,NA,NA,NA
"OG0000205",0,NA,NA,NA,NA
"OG0000206",0,NA,NA,NA,NA
"OG0000208",0,NA,NA,NA,NA
"OG0000211",0,NA,NA,NA,NA
"OG0000214",0,NA,NA,NA,NA
"OG0000215",0,NA,NA,NA,NA
"OG0000216",0,NA,NA,NA,NA
"OG0000217",0,NA,NA,NA,NA
"OG0000218",0,NA,NA,NA,NA
"OG0000219",0,NA,NA,NA,NA
"OG0000220",0,NA,NA,NA,NA
"OG0000223",0,NA,NA,NA,NA
"OG0000224",0,NA,NA,NA,NA
"OG0000225",0,NA,NA,NA,NA
"OG0000226",0,NA,NA,NA,NA
"OG0000227",0,NA,NA,NA,NA
"OG0000228",0,NA,NA,NA,NA
"OG0000229",0,NA,NA,NA,NA
"OG0000230",0,NA,NA,NA,NA
"OG0000231",0,NA,NA,NA,NA
"OG0000232",0,NA,NA,NA,NA
"OG0000233",0,NA,NA,NA,NA
"OG0000234",0,NA,NA,NA,NA
"OG0000235",0,NA,NA,NA,NA
"OG0000236",0,NA,NA,NA,NA
"OG0000237",0,NA,NA,NA,NA
"OG0000240",0,NA,NA,NA,NA
"OG0000241",0,NA,NA,NA,NA
"OG0000242",0,NA,NA,NA,NA
"OG0000243",0,NA,NA,NA,NA
"OG0000244",0,NA,NA,NA,NA
"OG0000245",0,NA,NA,NA,NA
"OG0000246",0,NA,NA,NA,NA
"OG0000247",0,NA,NA,NA,NA
"OG0000249",0,NA,NA,NA,NA
"OG0000250",0,NA,NA,NA,NA
"OG0000253",0,NA,NA,NA,NA
"OG0000255",0,NA,NA,NA,NA
"OG0000256",0,NA,NA,NA,NA
"OG0000257",0,NA,NA,NA,NA
"OG0000259",0,NA,NA,NA,NA
"OG0000260",0,NA,NA,NA,NA
"OG0000261",0,NA,NA,NA,NA
"OG0000262",0,NA,NA,NA,NA
"OG0000263",0,NA,NA,NA,NA
"OG0000264",0,NA,NA,NA,NA
"OG0000265",0,NA,NA,NA,NA
"OG0000266",0,NA,NA,NA,NA
"OG0000268",0,NA,NA,NA,NA
"OG0000269",0,NA,NA,NA,NA
"OG0000270",0,NA,NA,NA,NA
"OG0000271",0,NA,NA,NA,NA
"OG0000272",0,NA,NA,NA,NA
"OG0000276",0,NA,NA,NA,NA
"OG0000277",0,NA,NA,NA,NA
"OG0000278",0,NA,NA,NA,NA
