Verdah1 2 3 #cc80ff 1 1
Plecuc1 2 3 #cc80ff 1 1
Zalva1 2 3 #b300b3 1 1
Stael1 2 3 #ff0066 1 1
Cylol1 2 3 #ff0066 1 1
Dacma1 2 3 #ff0066 1 1
Daces1 2 3 #ff0066 1 1
Neora1 2 3 #ff0066 1 1
Ilyeu1 2 3 #ff0066 1 1
Fusven1 2 3 #ff0066 1 1
Fusarium233 2 3 #ff0066 1 1
Fuseq1 2 3 #ff0066 1 1
Fusarium226 2 3 #ff0066 1 1
Fusarium13 2 3 #ff0066 1 1
Fusarium216 2 3 #ff0066 1 1
Fusre1 2 3  =#ff0066 1 1
Plecto143 2 3  =#cc80ff 1 1
MorelU141 2 3 #ac00e6 1 1
Denna1 2 3 #bb79d7 1 1
Chame1 2 3 #ffe6ff 1 1
Chafu1 2 3 #ffe6ff 1 1
Mictri1 2 3 #7c1fA4 1 1
