"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Actinomycetales" 2397404.88174803 0.635790859027467 0.395746454593228 1.60656109902733 0.108150681810965 0.139050876614098
"Bacillales" 1189.78067058663 3.89819064464293 1.35237027021687 2.88248768143787 0.00394548562673551 0.00710187412812392
"Burkholderiales" 180708.475531795 -0.119202276999454 0.378455338990245 -0.314970525498456 0.75278403293907 0.75278403293907
"Caulobacterales" 56050.0991677015 -1.05582079691058 0.323712479337587 -3.26160053845038 0.00110785138870112 0.00249266562457752
"Flavobacteriales" 319409.238976927 13.2230348049059 1.33811034380826 9.88187175003309 4.98921461462582e-23 2.24514657658162e-22
"Pseudomonadales" 1916989.14947174 -3.02237624861649 0.277446015783511 -10.8935651502555 1.23700961583245e-27 1.11330865424921e-26
"Rhizobiales" 1173955.18365498 0.82734485291381 0.352465676798403 2.34730615596088 0.0189097097744508 0.0283645646616761
"Sphingomonadales" 252121.289569155 -1.21290856224994 0.333413151943008 -3.63785458126519 0.000274918564589284 0.000824755693767851
"Xanthomonadales" 2809343.37687775 -0.217085666775022 0.404941172402501 -0.536091861163588 0.59189506476834 0.665881947864383
