"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Root935|1008",0,NA,NA,NA,NA
"Root935|1338",0,NA,NA,NA,NA
"Root935|1526",0,NA,NA,NA,NA
"Root935|1885",0,NA,NA,NA,NA
"Root935|1977",0,NA,NA,NA,NA
"Root935|2063",0,NA,NA,NA,NA
"Root935|2102",0,NA,NA,NA,NA
"Root935|2137",0,NA,NA,NA,NA
"Root935|234",0,NA,NA,NA,NA
"Root935|2457",0,NA,NA,NA,NA
"Root935|2614",0,NA,NA,NA,NA
"Root935|3359",0,NA,NA,NA,NA
"Root935|3753",0,NA,NA,NA,NA
"Root935|3931",0,NA,NA,NA,NA
"Root935|63",0,NA,NA,NA,NA
"Root935|745",0,NA,NA,NA,NA
"Root935|787",0,NA,NA,NA,NA
"Root935|853",0,NA,NA,NA,NA
"Root935|1096",0,NA,NA,NA,NA
"Root935|1157",0,NA,NA,NA,NA
"Root935|1198",0,NA,NA,NA,NA
"Root935|1240",0,NA,NA,NA,NA
"Root935|1288",0,NA,NA,NA,NA
"Root935|1303",0,NA,NA,NA,NA
"Root935|1304",0,NA,NA,NA,NA
"Root935|1404",0,NA,NA,NA,NA
"Root935|1618",0,NA,NA,NA,NA
"Root935|2053",0,NA,NA,NA,NA
"Root935|2092",0,NA,NA,NA,NA
"Root935|2118",0,NA,NA,NA,NA
"Root935|2158",0,NA,NA,NA,NA
"Root935|2305",0,NA,NA,NA,NA
"Root935|236",0,NA,NA,NA,NA
"Root935|2826",0,NA,NA,NA,NA
"Root935|2987",0,NA,NA,NA,NA
"Root935|3064",0,NA,NA,NA,NA
"Root935|3176",0,NA,NA,NA,NA
"Root935|3177",0,NA,NA,NA,NA
"Root935|3203",0,NA,NA,NA,NA
"Root935|3207",0,NA,NA,NA,NA
"Root935|3219",0,NA,NA,NA,NA
"Root935|3222",0,NA,NA,NA,NA
"Root935|3224",0,NA,NA,NA,NA
"Root935|3236",0,NA,NA,NA,NA
"Root935|3285",0,NA,NA,NA,NA
"Root935|3381",0,NA,NA,NA,NA
"Root935|4195",0,NA,NA,NA,NA
"Root935|4201",0,NA,NA,NA,NA
"Root935|4228",0,NA,NA,NA,NA
"Root935|4231",0,NA,NA,NA,NA
"Root935|4283",0,NA,NA,NA,NA
"Root935|4302",0,NA,NA,NA,NA
"Root935|4310",0,NA,NA,NA,NA
"Root935|433",0,NA,NA,NA,NA
"Root935|798",0,NA,NA,NA,NA
"Root935|805",0,NA,NA,NA,NA
"Root935|808",0,NA,NA,NA,NA
"Root935|986",0,NA,NA,NA,NA
"Root935|1319",0,NA,NA,NA,NA
"Root935|1335",0,NA,NA,NA,NA
"Root935|1948",0,NA,NA,NA,NA
"Root935|3158",0,NA,NA,NA,NA
"Root935|3169",0,NA,NA,NA,NA
"Root935|3202",0,NA,NA,NA,NA
"Root935|3262",0,NA,NA,NA,NA
"Root935|4311",0,NA,NA,NA,NA
"Root935|933",0.00592481585574844,-0.0113093650643942,1.01866565082108,0.0670077521130135,0.0862498419767685
"Root935|1267",0,NA,NA,NA,NA
"Root935|4278",0,NA,NA,NA,NA
"Root935|813",0,NA,NA,NA,NA
"Root935|1155",0,NA,NA,NA,NA
"Root935|1296",0,NA,NA,NA,NA
"Root935|1302",0,NA,NA,NA,NA
"Root935|1409",0,NA,NA,NA,NA
"Root935|1433",0,NA,NA,NA,NA
"Root935|1438",0,NA,NA,NA,NA
"Root935|1696",0,NA,NA,NA,NA
"Root935|1782",0,NA,NA,NA,NA
"Root935|1997",0,NA,NA,NA,NA
"Root935|2194",0,NA,NA,NA,NA
"Root935|2306",0,NA,NA,NA,NA
"Root935|2393",0,NA,NA,NA,NA
"Root935|2423",0,NA,NA,NA,NA
"Root935|2584",0,NA,NA,NA,NA
"Root935|2728",0,NA,NA,NA,NA
"Root935|2731",0,NA,NA,NA,NA
"Root935|2737",0,NA,NA,NA,NA
"Root935|3115",0,NA,NA,NA,NA
"Root935|3174",0,NA,NA,NA,NA
"Root935|3178",0,NA,NA,NA,NA
"Root935|3220",0,NA,NA,NA,NA
"Root935|3275",0,NA,NA,NA,NA
"Root935|3337",0,NA,NA,NA,NA
"Root935|3403",0,NA,NA,NA,NA
"Root935|3722",0,NA,NA,NA,NA
"Root935|3857",0,NA,NA,NA,NA
"Root935|3879",0,NA,NA,NA,NA
"Root935|3997",0,NA,NA,NA,NA
"Root935|4112",0,NA,NA,NA,NA
"Root935|4165",0,NA,NA,NA,NA
"Root935|637",0,NA,NA,NA,NA
"Root935|807",0,NA,NA,NA,NA
"Root935|960",0,NA,NA,NA,NA
"Root935|985",0,NA,NA,NA,NA
"Root935|1418",0,NA,NA,NA,NA
"Root935|1482",0,NA,NA,NA,NA
"Root935|1483",0,NA,NA,NA,NA
"Root935|1569",0,NA,NA,NA,NA
"Root935|1907",0,NA,NA,NA,NA
"Root935|1983",0,NA,NA,NA,NA
"Root935|2013",0,NA,NA,NA,NA
"Root935|2163",0,NA,NA,NA,NA
"Root935|2506",0,NA,NA,NA,NA
"Root935|3056",0,NA,NA,NA,NA
"Root935|309",0,NA,NA,NA,NA
"Root935|3184",0,NA,NA,NA,NA
"Root935|3273",0,NA,NA,NA,NA
"Root935|3290",0,NA,NA,NA,NA
"Root935|3319",0,NA,NA,NA,NA
"Root935|3378",0,NA,NA,NA,NA
"Root935|3386",0,NA,NA,NA,NA
"Root935|3423",0,NA,NA,NA,NA
"Root935|3480",0.00668440763212645,-0.0108812746235248,1.01861413579393,0.0695382213286558,0.0862498419767685
"Root935|3880",0,NA,NA,NA,NA
"Root935|4149",0,NA,NA,NA,NA
"Root935|4293",0,NA,NA,NA,NA
"Root935|4295",0,NA,NA,NA,NA
"Root935|4297",0,NA,NA,NA,NA
"Root935|4340",0,NA,NA,NA,NA
"Root935|1025",0,NA,NA,NA,NA
"Root935|1417",0,NA,NA,NA,NA
"Root935|1464",0,NA,NA,NA,NA
"Root935|1489",0,NA,NA,NA,NA
"Root935|1520",0,NA,NA,NA,NA
"Root935|1568",0,NA,NA,NA,NA
"Root935|1624",0,NA,NA,NA,NA
"Root935|1806",0,NA,NA,NA,NA
"Root935|1982",0,NA,NA,NA,NA
"Root935|2012",0,NA,NA,NA,NA
"Root935|2147",0,NA,NA,NA,NA
"Root935|2162",0,NA,NA,NA,NA
"Root935|2505",0,NA,NA,NA,NA
"Root935|3055",0,NA,NA,NA,NA
"Root935|308",0,NA,NA,NA,NA
"Root935|32",0,NA,NA,NA,NA
"Root935|3289",0,NA,NA,NA,NA
"Root935|3320",0,NA,NA,NA,NA
"Root935|3379",0,NA,NA,NA,NA
"Root935|3380",0,NA,NA,NA,NA
"Root935|3422",0,NA,NA,NA,NA
"Root935|3481",0.00273453039496082,-0.014110117653031,1.01892409533241,0.0548021362187412,0.0862498419767685
"Root935|370",0,NA,NA,NA,NA
"Root935|3713",0,NA,NA,NA,NA
"Root935|3881",0,NA,NA,NA,NA
"Root935|4150",0,NA,NA,NA,NA
"Root935|4294",0,NA,NA,NA,NA
"Root935|4296",0,NA,NA,NA,NA
"Root935|4339",0,NA,NA,NA,NA
"Root935|1519",0,NA,NA,NA,NA
"Root935|1701",0,NA,NA,NA,NA
"Root935|1846",0,NA,NA,NA,NA
"Root935|3061",0,NA,NA,NA,NA
"Root935|3208",0,NA,NA,NA,NA
"Root935|3311",0,NA,NA,NA,NA
"Root935|4274",0,NA,NA,NA,NA
"Root935|950",0,NA,NA,NA,NA
"Root935|1408",0,NA,NA,NA,NA
"Root935|1496",0,NA,NA,NA,NA
"Root935|2335",0,NA,NA,NA,NA
"Root935|2429",0,NA,NA,NA,NA
"Root935|3131",0,NA,NA,NA,NA
"Root935|3171",0,NA,NA,NA,NA
"Root935|3245",0,NA,NA,NA,NA
"Root935|3251",0,NA,NA,NA,NA
"Root935|329",0,NA,NA,NA,NA
"Root935|3586",0,NA,NA,NA,NA
"Root935|3982",0,NA,NA,NA,NA
"Root935|4004",0,NA,NA,NA,NA
"Root935|411",0,NA,NA,NA,NA
"Root935|4175",0,NA,NA,NA,NA
"Root935|1349",0,NA,NA,NA,NA
"Root935|1832",0,NA,NA,NA,NA
"Root935|1935",0,NA,NA,NA,NA
"Root935|3331",0,NA,NA,NA,NA
"Root935|1112",0,NA,NA,NA,NA
"Root935|1227",0,NA,NA,NA,NA
"Root935|1503",0,NA,NA,NA,NA
"Root935|1522",0,NA,NA,NA,NA
"Root935|1533",0,NA,NA,NA,NA
"Root935|1853",0,NA,NA,NA,NA
"Root935|1904",0,NA,NA,NA,NA
"Root935|2088",0,NA,NA,NA,NA
"Root935|2345",0,NA,NA,NA,NA
"Root935|24",0,NA,NA,NA,NA
"Root935|2690",0,NA,NA,NA,NA
"Root935|2760",0,NA,NA,NA,NA
"Root935|2810",0,NA,NA,NA,NA
"Root935|2830",0,NA,NA,NA,NA
"Root935|2889",0,NA,NA,NA,NA
"Root935|2941",0,NA,NA,NA,NA
"Root935|3071",0,NA,NA,NA,NA
"Root935|3149",0,NA,NA,NA,NA
"Root935|328",0,NA,NA,NA,NA
"Root935|3363",0,NA,NA,NA,NA
"Root935|3769",0,NA,NA,NA,NA
"Root935|3794",0,NA,NA,NA,NA
"Root935|4271",0,NA,NA,NA,NA
"Root935|532",0,NA,NA,NA,NA
"Root935|830",0,NA,NA,NA,NA
"Root935|890",0,NA,NA,NA,NA
"Root935|1835",0,NA,NA,NA,NA
"Root935|2184",0,NA,NA,NA,NA
"Root935|238",0,NA,NA,NA,NA
"Root935|963",0,NA,NA,NA,NA
"Root935|1257",0,NA,NA,NA,NA
"Root935|1709",0,NA,NA,NA,NA
"Root935|1748",0,NA,NA,NA,NA
"Root935|2341",0,NA,NA,NA,NA
"Root935|2864",0,NA,NA,NA,NA
"Root935|3125",0,NA,NA,NA,NA
"Root935|324",0,NA,NA,NA,NA
"Root935|3117",0,NA,NA,NA,NA
"Root935|3239",0,NA,NA,NA,NA
"Root935|1079",0,NA,NA,NA,NA
"Root935|1282",0,NA,NA,NA,NA
"Root935|1381",0,NA,NA,NA,NA
"Root935|2509",0,NA,NA,NA,NA
"Root935|3201",0,NA,NA,NA,NA
"Root935|3563",0,NA,NA,NA,NA
"Root935|3564",0,NA,NA,NA,NA
"Root935|4242",0,NA,NA,NA,NA
"Root935|4285",0,NA,NA,NA,NA
"Root935|90",0,NA,NA,NA,NA
"Root935|101",0,NA,NA,NA,NA
"Root935|130",0,NA,NA,NA,NA
"Root935|131",0,NA,NA,NA,NA
"Root935|136",0,NA,NA,NA,NA
"Root935|1630",0,NA,NA,NA,NA
"Root935|1670",0,NA,NA,NA,NA
"Root935|1671",0,NA,NA,NA,NA
"Root935|1672",0,NA,NA,NA,NA
"Root935|1674",0,NA,NA,NA,NA
"Root935|17",0,NA,NA,NA,NA
"Root935|2048",0,NA,NA,NA,NA
"Root935|3699",0,NA,NA,NA,NA
"Root935|3935",0,NA,NA,NA,NA
"Root935|730",0,NA,NA,NA,NA
"Root935|97",0,NA,NA,NA,NA
"Root935|1951",0,NA,NA,NA,NA
"Root935|3229",0,NA,NA,NA,NA
"Root935|2949",0,NA,NA,NA,NA
"Root935|359",0,NA,NA,NA,NA
"Root935|632",0,NA,NA,NA,NA
"Root935|1861",0,NA,NA,NA,NA
"Root935|1742",0,NA,NA,NA,NA
"Root935|2129",0,NA,NA,NA,NA
"Root935|2611",0,NA,NA,NA,NA
"Root935|2971",0,NA,NA,NA,NA
"Root935|322",0,NA,NA,NA,NA
"Root935|4047",0,NA,NA,NA,NA
"Root935|2994",0,NA,NA,NA,NA
"Root935|3324",0,NA,NA,NA,NA
"Root935|3411",0,NA,NA,NA,NA
"Root935|4028",0,NA,NA,NA,NA
"Root935|621",0,NA,NA,NA,NA
"Root935|1752",0,NA,NA,NA,NA
"Root935|2224",0,NA,NA,NA,NA
"Root935|2791",0,NA,NA,NA,NA
"Root935|2980",0,NA,NA,NA,NA
"Root935|3787",0,NA,NA,NA,NA
"Root935|3977",0,NA,NA,NA,NA
"Root935|973",0,NA,NA,NA,NA
"Root935|1708",0,NA,NA,NA,NA
"Root935|1749",0,NA,NA,NA,NA
"Root935|1913",0,NA,NA,NA,NA
"Root935|2863",0,NA,NA,NA,NA
"Root935|2869",0,NA,NA,NA,NA
"Root935|2870",0,NA,NA,NA,NA
"Root935|3124",0,NA,NA,NA,NA
"Root935|325",0,NA,NA,NA,NA
"Root935|506",0,NA,NA,NA,NA
"Root935|1194",0,NA,NA,NA,NA
"Root935|1407",0,NA,NA,NA,NA
"Root935|3469",0,NA,NA,NA,NA
"Root935|3824",0,NA,NA,NA,NA
"Root935|4038",0,NA,NA,NA,NA
"Root935|4051",0,NA,NA,NA,NA
"Root935|4229",0,NA,NA,NA,NA
"Root935|855",0,NA,NA,NA,NA
"Root935|989",0,NA,NA,NA,NA
"Root935|1697",0,NA,NA,NA,NA
"Root935|2005",0,NA,NA,NA,NA
"Root935|3711",0,NA,NA,NA,NA
"Root935|551",0,NA,NA,NA,NA
"Root935|3168",0,NA,NA,NA,NA
"Root935|3210",0,NA,NA,NA,NA
"Root935|4183",0,NA,NA,NA,NA
"Root935|80",0,NA,NA,NA,NA
"Root935|111",0,NA,NA,NA,NA
"Root935|112",0,NA,NA,NA,NA
"Root935|113",0,NA,NA,NA,NA
"Root935|133",0,NA,NA,NA,NA
"Root935|1666",0,NA,NA,NA,NA
"Root935|2050",0,NA,NA,NA,NA
"Root935|2793",0,NA,NA,NA,NA
"Root935|319",0,NA,NA,NA,NA
