"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Root11|1036",0,NA,NA,NA,NA
"Root11|1073",0,NA,NA,NA,NA
"Root11|1105",0,NA,NA,NA,NA
"Root11|1107",0,NA,NA,NA,NA
"Root11|1438",0,NA,NA,NA,NA
"Root11|1490",0,NA,NA,NA,NA
"Root11|1887",0,NA,NA,NA,NA
"Root11|1935",0,NA,NA,NA,NA
"Root11|2023",0,NA,NA,NA,NA
"Root11|2195",0,NA,NA,NA,NA
"Root11|2269",0,NA,NA,NA,NA
"Root11|2334",0,NA,NA,NA,NA
"Root11|256",0,NA,NA,NA,NA
"Root11|2717",0,NA,NA,NA,NA
"Root11|2738",0,NA,NA,NA,NA
"Root11|2807",0,NA,NA,NA,NA
"Root11|2907",0,NA,NA,NA,NA
"Root11|2915",0,NA,NA,NA,NA
"Root11|2918",0,NA,NA,NA,NA
"Root11|2975",0,NA,NA,NA,NA
"Root11|3015",0,NA,NA,NA,NA
"Root11|322",0,NA,NA,NA,NA
"Root11|3222",0,NA,NA,NA,NA
"Root11|3247",0,NA,NA,NA,NA
"Root11|338",0,NA,NA,NA,NA
"Root11|3761",0,NA,NA,NA,NA
"Root11|3790",0,NA,NA,NA,NA
"Root11|3859",0,NA,NA,NA,NA
"Root11|4232",0,NA,NA,NA,NA
"Root11|434",0,NA,NA,NA,NA
"Root11|4442",0,NA,NA,NA,NA
"Root11|450",0,NA,NA,NA,NA
"Root11|4501",0,NA,NA,NA,NA
"Root11|4905",0,NA,NA,NA,NA
"Root11|4978",0,NA,NA,NA,NA
"Root11|5057",0,NA,NA,NA,NA
"Root11|5100",0,NA,NA,NA,NA
"Root11|5199",0,NA,NA,NA,NA
"Root11|5251",0,NA,NA,NA,NA
"Root11|5313",0,NA,NA,NA,NA
"Root11|5392",0,NA,NA,NA,NA
"Root11|5460",0,NA,NA,NA,NA
"Root11|5461",0,NA,NA,NA,NA
"Root11|5486",0,NA,NA,NA,NA
"Root11|5509",0,NA,NA,NA,NA
"Root11|5595",0,NA,NA,NA,NA
"Root11|5605",0,NA,NA,NA,NA
"Root11|5660",0.0846457224562748,1.28815037469014e-07,0.0014426949987777,0.601815289283533,0.750110062561338
"Root11|5718",0,NA,NA,NA,NA
"Root11|5819",0,NA,NA,NA,NA
"Root11|5968",0,NA,NA,NA,NA
"Root11|6065",0,NA,NA,NA,NA
"Root11|619",0.0253937167368824,7.11580491550986e-08,0.00144269500144577,0.700039414426416,0.750110062561338
"Root11|6254",0,NA,NA,NA,NA
"Root11|6364",0,NA,NA,NA,NA
"Root11|6365",0,NA,NA,NA,NA
"Root11|6617",0,NA,NA,NA,NA
"Root11|6638",0,NA,NA,NA,NA
"Root11|6659",0,NA,NA,NA,NA
"Root11|6714",0,NA,NA,NA,NA
"Root11|6719",0,NA,NA,NA,NA
"Root11|6862",0,NA,NA,NA,NA
"Root11|726",0,NA,NA,NA,NA
"Root11|854",0,NA,NA,NA,NA
"Root11|917",0,NA,NA,NA,NA
"Root11|1066",0,NA,NA,NA,NA
"Root11|1466",0,NA,NA,NA,NA
"Root11|1531",0,NA,NA,NA,NA
"Root11|1645",0,NA,NA,NA,NA
"Root11|1980",0,NA,NA,NA,NA
"Root11|2004",0,NA,NA,NA,NA
"Root11|2124",0,NA,NA,NA,NA
"Root11|2213",0.482480618000766,1.82332337577127e-07,0.0014426950187522,0.393020763206652,0.750110062561338
"Root11|231",0,NA,NA,NA,NA
"Root11|2318",0,NA,NA,NA,NA
"Root11|2333",0,NA,NA,NA,NA
"Root11|2359",0,NA,NA,NA,NA
"Root11|2500",0,NA,NA,NA,NA
"Root11|2613",0,NA,NA,NA,NA
"Root11|3044",0,NA,NA,NA,NA
"Root11|3134",0,NA,NA,NA,NA
"Root11|340",0,NA,NA,NA,NA
"Root11|4430",0,NA,NA,NA,NA
"Root11|45",0,NA,NA,NA,NA
"Root11|469",0,NA,NA,NA,NA
