"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Root916|1633",0,NA,NA,NA,NA
"Root916|1728",0,NA,NA,NA,NA
"Root916|2131",0,NA,NA,NA,NA
"Root916|2625",0,NA,NA,NA,NA
"Root916|2669",0,NA,NA,NA,NA
"Root916|2909",0,NA,NA,NA,NA
"Root916|2972",0,NA,NA,NA,NA
"Root916|3149",0,NA,NA,NA,NA
"Root916|3153",0,NA,NA,NA,NA
"Root916|3277",0,NA,NA,NA,NA
"Root916|3324",0,NA,NA,NA,NA
"Root916|356",0,NA,NA,NA,NA
"Root916|3739",0,NA,NA,NA,NA
"Root916|831",0,NA,NA,NA,NA
"Root916|898",0,NA,NA,NA,NA
"Root916|942",0,NA,NA,NA,NA
"Root916|1337",0,NA,NA,NA,NA
"Root916|1508",0,NA,NA,NA,NA
"Root916|1534",0,NA,NA,NA,NA
"Root916|1576",0,NA,NA,NA,NA
"Root916|1692",0,NA,NA,NA,NA
"Root916|2373",0,NA,NA,NA,NA
"Root916|2413",0,NA,NA,NA,NA
"Root916|2757",0,NA,NA,NA,NA
"Root916|2853",0,NA,NA,NA,NA
"Root916|2864",0,NA,NA,NA,NA
"Root916|2952",0,NA,NA,NA,NA
"Root916|3096",0,NA,NA,NA,NA
"Root916|3251",0,NA,NA,NA,NA
"Root916|3346",0,NA,NA,NA,NA
"Root916|383",0,NA,NA,NA,NA
"Root916|3995",0,NA,NA,NA,NA
"Root916|428",0,NA,NA,NA,NA
"Root916|516",0,NA,NA,NA,NA
"Root916|518",0,NA,NA,NA,NA
"Root916|56",0,NA,NA,NA,NA
"Root916|985",0,NA,NA,NA,NA
"Root916|1019",0,NA,NA,NA,NA
"Root916|1097",0,NA,NA,NA,NA
"Root916|1509",0,NA,NA,NA,NA
"Root916|1816",0,NA,NA,NA,NA
"Root916|250",0,NA,NA,NA,NA
"Root916|2529",0,NA,NA,NA,NA
"Root916|2725",0,NA,NA,NA,NA
"Root916|2741",0,NA,NA,NA,NA
"Root916|3322",0,NA,NA,NA,NA
"Root916|384",0,NA,NA,NA,NA
"Root916|3992",0,NA,NA,NA,NA
"Root916|4036",0,NA,NA,NA,NA
"Root916|521",0,NA,NA,NA,NA
"Root916|658",0,NA,NA,NA,NA
"Root916|868",0,NA,NA,NA,NA
"Root916|875",0,NA,NA,NA,NA
"Root916|137",0,NA,NA,NA,NA
"Root916|1636",0,NA,NA,NA,NA
"Root916|1881",0,NA,NA,NA,NA
"Root916|2204",0,NA,NA,NA,NA
"Root916|273",0,NA,NA,NA,NA
"Root916|2743",0,NA,NA,NA,NA
"Root916|2819",0,NA,NA,NA,NA
"Root916|3428",0,NA,NA,NA,NA
"Root916|3457",0,NA,NA,NA,NA
"Root916|3614",0,NA,NA,NA,NA
"Root916|3629",0,NA,NA,NA,NA
"Root916|3888",0,NA,NA,NA,NA
"Root916|3941",0,NA,NA,NA,NA
"Root916|4004",0,NA,NA,NA,NA
"Root916|469",0,NA,NA,NA,NA
"Root916|524",0,NA,NA,NA,NA
"Root916|532",0,NA,NA,NA,NA
"Root916|566",0,NA,NA,NA,NA
"Root916|600",0,NA,NA,NA,NA
"Root916|355",0,NA,NA,NA,NA
"Root916|3954",0,NA,NA,NA,NA
"Root916|943",0,NA,NA,NA,NA
"Root916|1685",0,NA,NA,NA,NA
"Root916|1897",0,NA,NA,NA,NA
"Root916|2285",0,NA,NA,NA,NA
"Root916|2377",0,NA,NA,NA,NA
"Root916|2414",0,NA,NA,NA,NA
"Root916|2469",0,NA,NA,NA,NA
"Root916|2480",0,NA,NA,NA,NA
"Root916|2502",0,NA,NA,NA,NA
"Root916|2769",0,NA,NA,NA,NA
"Root916|3122",0,NA,NA,NA,NA
"Root916|3665",0,NA,NA,NA,NA
"Root916|3809",0,NA,NA,NA,NA
"Root916|381",0,NA,NA,NA,NA
"Root916|3910",0,NA,NA,NA,NA
"Root916|496",0,NA,NA,NA,NA
"Root916|507",0,NA,NA,NA,NA
"Root916|1073",0,NA,NA,NA,NA
"Root916|1138",0,NA,NA,NA,NA
"Root916|1422",0,NA,NA,NA,NA
"Root916|1502",0,NA,NA,NA,NA
"Root916|1574",0,NA,NA,NA,NA
"Root916|1782",0,NA,NA,NA,NA
"Root916|1791",0,NA,NA,NA,NA
"Root916|1855",0.973444940017163,2.2526090060803e-07,0.00144269502047913,0.373544078678903,0.966103961633519
"Root916|1921",0,NA,NA,NA,NA
"Root916|2175",0.0775842411605738,1.01111939031586e-07,0.00144269499954881,0.882091373489872,0.966103961633519
"Root916|2916",0,NA,NA,NA,NA
"Root916|3134",0,NA,NA,NA,NA
"Root916|3179",0,NA,NA,NA,NA
"Root916|3201",0,NA,NA,NA,NA
"Root916|348",0,NA,NA,NA,NA
"Root916|366",0,NA,NA,NA,NA
"Root916|3720",0,NA,NA,NA,NA
"Root916|3721",0,NA,NA,NA,NA
"Root916|3736",0,NA,NA,NA,NA
"Root916|447",0,NA,NA,NA,NA
"Root916|494",0,NA,NA,NA,NA
"Root916|924",0,NA,NA,NA,NA
"Root916|1074",0,NA,NA,NA,NA
"Root916|1175",0,NA,NA,NA,NA
"Root916|1573",0,NA,NA,NA,NA
"Root916|1783",0,NA,NA,NA,NA
"Root916|1922",0,NA,NA,NA,NA
"Root916|2176",0,NA,NA,NA,NA
"Root916|2281",0,NA,NA,NA,NA
"Root916|2744",0,NA,NA,NA,NA
"Root916|3178",0,NA,NA,NA,NA
"Root916|3202",0,NA,NA,NA,NA
"Root916|349",0,NA,NA,NA,NA
"Root916|365",0,NA,NA,NA,NA
"Root916|3737",0,NA,NA,NA,NA
"Root916|3940",0,NA,NA,NA,NA
"Root916|495",0,NA,NA,NA,NA
"Root916|1039",0,NA,NA,NA,NA
"Root916|1292",0,NA,NA,NA,NA
"Root916|1495",0,NA,NA,NA,NA
"Root916|2348",0,NA,NA,NA,NA
"Root916|3289",0,NA,NA,NA,NA
"Root916|3696",0,NA,NA,NA,NA
"Root916|3780",0,NA,NA,NA,NA
"Root916|3988",0,NA,NA,NA,NA
"Root916|4007",0,NA,NA,NA,NA
"Root916|2964",0,NA,NA,NA,NA
"Root916|1694",0,NA,NA,NA,NA
"Root916|1797",0,NA,NA,NA,NA
"Root916|1807",0,NA,NA,NA,NA
"Root916|1817",0,NA,NA,NA,NA
"Root916|257",0,NA,NA,NA,NA
"Root916|2698",0,NA,NA,NA,NA
"Root916|2748",0,NA,NA,NA,NA
"Root916|2753",0,NA,NA,NA,NA
"Root916|2765",0,NA,NA,NA,NA
"Root916|2768",0,NA,NA,NA,NA
"Root916|3047",0,NA,NA,NA,NA
"Root916|3076",0,NA,NA,NA,NA
"Root916|4019",0,NA,NA,NA,NA
"Root916|1474",0,NA,NA,NA,NA
"Root916|1611",0,NA,NA,NA,NA
"Root916|1899",0,NA,NA,NA,NA
"Root916|339",0,NA,NA,NA,NA
"Root916|3896",0,NA,NA,NA,NA
"Root916|98",0,NA,NA,NA,NA
"Root916|131",0,NA,NA,NA,NA
"Root916|1628",0,NA,NA,NA,NA
"Root916|1679",0,NA,NA,NA,NA
"Root916|2240",0,NA,NA,NA,NA
"Root916|2683",0,NA,NA,NA,NA
"Root916|2901",0,NA,NA,NA,NA
"Root916|317",0,NA,NA,NA,NA
"Root916|3280",0,NA,NA,NA,NA
"Root916|3397",0,NA,NA,NA,NA
"Root916|3512",0,NA,NA,NA,NA
"Root916|3547",0,NA,NA,NA,NA
"Root916|3622",0,NA,NA,NA,NA
"Root916|3801",0,NA,NA,NA,NA
"Root916|438",1.85356731088203,-2.87447021885406e-07,0.00144269496000685,0.280513895984072,0.966103961633519
"Root916|468",0,NA,NA,NA,NA
"Root916|499",0,NA,NA,NA,NA
"Root916|1238",0,NA,NA,NA,NA
"Root916|621",0,NA,NA,NA,NA
"Root916|814",0,NA,NA,NA,NA
"Root916|958",0,NA,NA,NA,NA
"Root916|1239",0,NA,NA,NA,NA
"Root916|118",0,NA,NA,NA,NA
"Root916|1229",0,NA,NA,NA,NA
"Root916|1305",0,NA,NA,NA,NA
"Root916|1524",0,NA,NA,NA,NA
"Root916|292",0,NA,NA,NA,NA
"Root916|3008",0,NA,NA,NA,NA
"Root916|3207",0,NA,NA,NA,NA
"Root916|3382",0,NA,NA,NA,NA
"Root916|3419",0,NA,NA,NA,NA
"Root916|39",0,NA,NA,NA,NA
"Root916|1049",0,NA,NA,NA,NA
"Root916|1235",0,NA,NA,NA,NA
"Root916|150",0,NA,NA,NA,NA
"Root916|1592",0,NA,NA,NA,NA
"Root916|1606",0,NA,NA,NA,NA
"Root916|2559",0,NA,NA,NA,NA
"Root916|2751",0,NA,NA,NA,NA
"Root916|2756",0,NA,NA,NA,NA
"Root916|3095",0,NA,NA,NA,NA
"Root916|3233",0,NA,NA,NA,NA
"Root916|3246",0,NA,NA,NA,NA
"Root916|3618",0,NA,NA,NA,NA
"Root916|59",0,NA,NA,NA,NA
"Root916|471",0,NA,NA,NA,NA
"Root916|865",0,NA,NA,NA,NA
"Root916|975",0,NA,NA,NA,NA
"Root916|1243",0,NA,NA,NA,NA
"Root916|2097",0,NA,NA,NA,NA
"Root916|2851",0,NA,NA,NA,NA
"Root916|3948",0,NA,NA,NA,NA
"Root916|904",0,NA,NA,NA,NA
"Root916|2833",0,NA,NA,NA,NA
"Root916|2322",0,NA,NA,NA,NA
"Root916|1440",0,NA,NA,NA,NA
"Root916|1441",0,NA,NA,NA,NA
"Root916|354",0,NA,NA,NA,NA
"Root916|720",0,NA,NA,NA,NA
"Root916|1038",0,NA,NA,NA,NA
"Root916|1477",0,NA,NA,NA,NA
"Root916|721",0,NA,NA,NA,NA
"Root916|2834",0,NA,NA,NA,NA
"Root916|3557",0,NA,NA,NA,NA
"Root916|3562",0,NA,NA,NA,NA
"Root916|606",0,NA,NA,NA,NA
"Root916|1136",0,NA,NA,NA,NA
"Root916|2965",0,NA,NA,NA,NA
"Root916|3723",0.389377976006865,1.74715876294841e-07,0.00144269501052465,0.633413155646273,0.966103961633519
"Root916|1581",0,NA,NA,NA,NA
"Root916|1720",0,NA,NA,NA,NA
"Root916|2685",0,NA,NA,NA,NA
"Root916|3212",0,NA,NA,NA,NA
"Root916|680",0,NA,NA,NA,NA
"Root916|129",0,NA,NA,NA,NA
"Root916|1747",0,NA,NA,NA,NA
"Root916|2170",0,NA,NA,NA,NA
"Root916|2411",0,NA,NA,NA,NA
"Root916|265",0,NA,NA,NA,NA
"Root916|2745",0,NA,NA,NA,NA
"Root916|747",0,NA,NA,NA,NA
"Root916|957",0,NA,NA,NA,NA
"Root916|1481",0,NA,NA,NA,NA
"Root916|3222",0,NA,NA,NA,NA
"Root916|3607",0,NA,NA,NA,NA
"Root916|465",0,NA,NA,NA,NA
"Root916|490",0,NA,NA,NA,NA
"Root916|841",0,NA,NA,NA,NA
"Root916|1525",0,NA,NA,NA,NA
"Root916|291",0,NA,NA,NA,NA
"Root916|3208",0,NA,NA,NA,NA
"Root916|3383",0,NA,NA,NA,NA
"Root916|3418",0,NA,NA,NA,NA
"Root916|1621",0,NA,NA,NA,NA
"Root916|2206",0,NA,NA,NA,NA
"Root916|3098",0,NA,NA,NA,NA
"Root916|57",0,NA,NA,NA,NA
"Root916|125",0,NA,NA,NA,NA
"Root916|2558",0,NA,NA,NA,NA
"Root916|382",0,NA,NA,NA,NA
"Root916|722",0,NA,NA,NA,NA
"Root916|1552",0,NA,NA,NA,NA
"Root916|2076",0,NA,NA,NA,NA
"Root916|2254",0,NA,NA,NA,NA
"Root916|2783",0,NA,NA,NA,NA
"Root916|2949",0,NA,NA,NA,NA
"Root916|2999",0,NA,NA,NA,NA
"Root916|3861",0,NA,NA,NA,NA
"Root916|168",0,NA,NA,NA,NA
"Root916|2148",0,NA,NA,NA,NA
"Root916|2157",0,NA,NA,NA,NA
"Root916|3063",0,NA,NA,NA,NA
"Root916|815",0,NA,NA,NA,NA
"Root916|1569",0,NA,NA,NA,NA
"Root916|2905",0,NA,NA,NA,NA
"Root916|2945",0,NA,NA,NA,NA
"Root916|3467",0,NA,NA,NA,NA
"Root916|1054",0,NA,NA,NA,NA
"Root916|723",0,NA,NA,NA,NA
"Root916|1062",0,NA,NA,NA,NA
"Root916|1217",0,NA,NA,NA,NA
"Root916|1651",0,NA,NA,NA,NA
"Root916|1729",0,NA,NA,NA,NA
"Root916|2154",0,NA,NA,NA,NA
"Root916|2528",0,NA,NA,NA,NA
"Root916|2603",0,NA,NA,NA,NA
"Root916|3249",0,NA,NA,NA,NA
"Root916|3738",0,NA,NA,NA,NA
"Root916|3906",0,NA,NA,NA,NA
"Root916|655",0,NA,NA,NA,NA
"Root916|1240",0,NA,NA,NA,NA
"Root916|2828",0,NA,NA,NA,NA
"Root916|71",0,NA,NA,NA,NA
"Root916|1061",0,NA,NA,NA,NA
"Root916|1215",0,NA,NA,NA,NA
"Root916|1216",0,NA,NA,NA,NA
"Root916|1650",0,NA,NA,NA,NA
"Root916|2155",0,NA,NA,NA,NA
"Root916|2527",0,NA,NA,NA,NA
"Root916|2602",0,NA,NA,NA,NA
"Root916|3250",0,NA,NA,NA,NA
"Root916|3907",0,NA,NA,NA,NA
"Root916|656",0,NA,NA,NA,NA
"Root916|1344",0,NA,NA,NA,NA
"Root916|147",0,NA,NA,NA,NA
"Root916|1497",0,NA,NA,NA,NA
"Root916|1622",0,NA,NA,NA,NA
"Root916|1870",0,NA,NA,NA,NA
"Root916|2613",0,NA,NA,NA,NA
"Root916|3129",0,NA,NA,NA,NA
"Root916|1769",0,NA,NA,NA,NA
"Root916|1813",0,NA,NA,NA,NA
"Root916|2494",0,NA,NA,NA,NA
"Root916|2495",0,NA,NA,NA,NA
"Root916|2511",0,NA,NA,NA,NA
"Root916|2609",0,NA,NA,NA,NA
"Root916|3025",0,NA,NA,NA,NA
"Root916|3217",0,NA,NA,NA,NA
"Root916|3384",0,NA,NA,NA,NA
"Root916|3463",0,NA,NA,NA,NA
"Root916|1349",0,NA,NA,NA,NA
"Root916|77",0,NA,NA,NA,NA
"Root916|2456",0,NA,NA,NA,NA
"Root916|3729",0,NA,NA,NA,NA
"Root916|1616",0,NA,NA,NA,NA
"Root916|661",0,NA,NA,NA,NA
"Root916|1515",0,NA,NA,NA,NA
"Root916|1517",0,NA,NA,NA,NA
"Root916|1597",0,NA,NA,NA,NA
"Root916|1608",0,NA,NA,NA,NA
"Root916|1765",0,NA,NA,NA,NA
"Root916|1780",0,NA,NA,NA,NA
"Root916|1867",0,NA,NA,NA,NA
"Root916|2222",0,NA,NA,NA,NA
"Root916|2412",0,NA,NA,NA,NA
"Root916|2508",0,NA,NA,NA,NA
"Root916|2618",0,NA,NA,NA,NA
"Root916|262",0,NA,NA,NA,NA
"Root916|2816",0,NA,NA,NA,NA
"Root916|2944",0,NA,NA,NA,NA
"Root916|3272",0,NA,NA,NA,NA
"Root916|3291",0,NA,NA,NA,NA
"Root916|3902",0,NA,NA,NA,NA
"Root916|737",0,NA,NA,NA,NA
"Root916|800",0,NA,NA,NA,NA
"Root916|938",0,NA,NA,NA,NA
"Root916|1017",0,NA,NA,NA,NA
"Root916|620",0,NA,NA,NA,NA
"Root916|1120",0,NA,NA,NA,NA
"Root916|179",0,NA,NA,NA,NA
"Root916|1892",0,NA,NA,NA,NA
"Root916|2063",0,NA,NA,NA,NA
"Root916|1934",0,NA,NA,NA,NA
"Root916|2672",0,NA,NA,NA,NA
"Root916|3905",0,NA,NA,NA,NA
"Root916|2079",0,NA,NA,NA,NA
"Root916|2445",0,NA,NA,NA,NA
"Root916|2629",0,NA,NA,NA,NA
"Root916|3192",0,NA,NA,NA,NA
"Root916|3868",0,NA,NA,NA,NA
"Root916|3886",0,NA,NA,NA,NA
"Root916|1820",0,NA,NA,NA,NA
"Root916|2085",0,NA,NA,NA,NA
"Root916|2874",0,NA,NA,NA,NA
"Root916|3032",0,NA,NA,NA,NA
"Root916|3083",0,NA,NA,NA,NA
"Root916|709",0,NA,NA,NA,NA
"Root916|972",0,NA,NA,NA,NA
"Root916|178",0,NA,NA,NA,NA
"Root916|2383",0,NA,NA,NA,NA
"Root916|54",0,NA,NA,NA,NA
"Root916|1095",0,NA,NA,NA,NA
"Root916|1976",0,NA,NA,NA,NA
"Root916|2693",0,NA,NA,NA,NA
"Root916|3694",0,NA,NA,NA,NA
"Root916|3811",0,NA,NA,NA,NA
"Root916|4055",0,NA,NA,NA,NA
"Root916|2146",0,NA,NA,NA,NA
"Root916|2663",0,NA,NA,NA,NA
"Root916|3950",0,NA,NA,NA,NA
"Root916|529",0,NA,NA,NA,NA
"Root916|2729",0,NA,NA,NA,NA
"Root916|456",0.195593587318238,-1.52839150611096e-07,0.00144269500751743,0.681327737081129,0.966103961633519
"Root916|806",0,NA,NA,NA,NA
"Root916|1688",0,NA,NA,NA,NA
"Root916|2033",0,NA,NA,NA,NA
"Root916|552",0,NA,NA,NA,NA
"Root916|153",0,NA,NA,NA,NA
"Root916|2987",0,NA,NA,NA,NA
"Root916|3792",0,NA,NA,NA,NA
"Root916|1809",0,NA,NA,NA,NA
"Root916|1834",0,NA,NA,NA,NA
"Root916|2735",0,NA,NA,NA,NA
"Root916|3094",0,NA,NA,NA,NA
"Root916|584",0,NA,NA,NA,NA
"Root916|585",0,NA,NA,NA,NA
"Root916|779",0,NA,NA,NA,NA
"Root916|3854",0,NA,NA,NA,NA
"Root916|537",0,NA,NA,NA,NA
"Root916|3295",0,NA,NA,NA,NA
"Root916|1276",0,NA,NA,NA,NA
"Root916|2788",0,NA,NA,NA,NA
"Root916|36",0.24781455959266,-1.51213029103541e-07,0.00144269500829155,0.730216719100146,0.966103961633519
"Root916|1308",0,NA,NA,NA,NA
"Root916|1431",0,NA,NA,NA,NA
"Root916|1512",0,NA,NA,NA,NA
"Root916|2089",0,NA,NA,NA,NA
"Root916|2190",0,NA,NA,NA,NA
"Root916|2608",0,NA,NA,NA,NA
"Root916|3653",0,NA,NA,NA,NA
"Root916|786",0.0775842411605738,1.01111939031586e-07,0.00144269499954881,0.882091373489872,0.966103961633519
"Root916|32",0,NA,NA,NA,NA
"Root916|1208",0,NA,NA,NA,NA
"Root916|1676",0,NA,NA,NA,NA
"Root916|2061",0,NA,NA,NA,NA
"Root916|2263",0,NA,NA,NA,NA
"Root916|228",0,NA,NA,NA,NA
"Root916|3963",0.0977967936591188,-1.20439338800559e-07,0.00144269500275825,0.776974337787227,0.966103961633519
"Root916|533",0,NA,NA,NA,NA
"Root916|1675",0,NA,NA,NA,NA
"Root916|2002",0,NA,NA,NA,NA
"Root916|2947",0,NA,NA,NA,NA
"Root916|430",0.231533954935386,1.33235368278444e-07,0.00144269500303454,0.826925388349734,0.966103961633519
"Root916|3150",0,NA,NA,NA,NA
