"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Root1433D1|1714",0,NA,NA,NA,NA
"Root1433D1|116",0.0922056098207302,-0.102474172124617,1.01774366076611,0.734316029239201,NA
"Root1433D1|1991",3.92514022289087,0.222408459153716,1.0545541835353,0.0918406813285753,NA
"Root1433D1|2196",2.70516420766803,0.21976975812004,1.05320151586954,0.113132224072774,NA
"Root1433D1|170",0,NA,NA,NA,NA
"Root1433D1|2883",0,NA,NA,NA,NA
"Root1433D1|2485",0,NA,NA,NA,NA
"Root1433D1|1105",0,NA,NA,NA,NA
"Root1433D1|2764",0,NA,NA,NA,NA
"Root1433D1|1069",0,NA,NA,NA,NA
"Root1433D1|2734",0,NA,NA,NA,NA
"Root1433D1|1037",0.0530424354444712,0.119451118358949,1.01603696613491,0.437150561859918,NA
"Root1433D1|1310",0,NA,NA,NA,NA
"Root1433D1|1185",0,NA,NA,NA,NA
"Root1433D1|2589",0,NA,NA,NA,NA
"Root1433D1|3121",0,NA,NA,NA,NA
"Root1433D1|2851",0,NA,NA,NA,NA
"Root1433D1|1445",0,NA,NA,NA,NA
"Root1433D1|2679",0,NA,NA,NA,NA
"Root1433D1|2335",2.56513217809462,-0.180271923420345,1.03686226538475,0.3854502755185,NA
"Root1433D1|56",0,NA,NA,NA,NA
"Root1433D1|1793",0,NA,NA,NA,NA
"Root1433D1|83",2.7661682946219,-0.181400008045031,1.03721433111572,0.372258866338403,NA
"Root1433D1|3103",0,NA,NA,NA,NA
"Root1433D1|2599",0,NA,NA,NA,NA
"Root1433D1|1156",1.16693357977837,0.211582531581205,1.04882285411557,0.172167786209569,NA
"Root1433D1|3006",852.285852721763,0.244106473650431,1.06341305256153,NA,NA
"Root1433D1|2362",2.37603853883145,-0.184787476700184,1.03769879125395,0.393112262658457,NA
"Root1433D1|2545",5.89911498657613,0.201493955581103,1.04070577916699,NA,NA
"Root1433D1|2675",0,NA,NA,NA,NA
"Root1433D1|735",0,NA,NA,NA,NA
"Root1433D1|1858",0,NA,NA,NA,NA
"Root1433D1|2251",0,NA,NA,NA,NA
"Root1433D1|1951",0,NA,NA,NA,NA
"Root1433D1|2044",0,NA,NA,NA,NA
"Root1433D1|1575",0.138308414731095,-0.111202427957523,1.01970723713101,0.73431602923914,NA
"Root1433D1|1576",8.2746199293375,0.224861874843163,1.05577063173026,0.0616462836916182,NA
"Root1433D1|2250",0,NA,NA,NA,NA
"Root1433D1|2737",0,NA,NA,NA,NA
