"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Root100|1045",0,NA,NA,NA,NA
"Root100|1120",0,NA,NA,NA,NA
"Root100|1133",0,NA,NA,NA,NA
"Root100|1620",0,NA,NA,NA,NA
"Root100|1719",0,NA,NA,NA,NA
"Root100|1755",0,NA,NA,NA,NA
"Root100|180",0,NA,NA,NA,NA
"Root100|222",0,NA,NA,NA,NA
"Root100|2240",0,NA,NA,NA,NA
"Root100|231",0,NA,NA,NA,NA
"Root100|2326",0,NA,NA,NA,NA
"Root100|2368",0,NA,NA,NA,NA
"Root100|2373",0,NA,NA,NA,NA
"Root100|2416",0,NA,NA,NA,NA
"Root100|2539",0,NA,NA,NA,NA
"Root100|2553",0,NA,NA,NA,NA
"Root100|2556",0,NA,NA,NA,NA
"Root100|2685",0,NA,NA,NA,NA
"Root100|2976",0,NA,NA,NA,NA
"Root100|3014",0,NA,NA,NA,NA
"Root100|3089",0,NA,NA,NA,NA
"Root100|3103",0,NA,NA,NA,NA
"Root100|3165",0,NA,NA,NA,NA
"Root100|3305",0,NA,NA,NA,NA
"Root100|3501",3.08224307315376,0.21617149807949,1.05085157142865,0.151122499562437,0.479234910780934
"Root100|3528",0,NA,NA,NA,NA
"Root100|353",0,NA,NA,NA,NA
"Root100|3597",0,NA,NA,NA,NA
"Root100|365",0,NA,NA,NA,NA
"Root100|3800",0,NA,NA,NA,NA
"Root100|3873",0,NA,NA,NA,NA
"Root100|390",0,NA,NA,NA,NA
"Root100|3991",0,NA,NA,NA,NA
"Root100|4024",0,NA,NA,NA,NA
"Root100|4198",0,NA,NA,NA,NA
"Root100|4219",0,NA,NA,NA,NA
"Root100|4253",0,NA,NA,NA,NA
"Root100|4258",0,NA,NA,NA,NA
"Root100|4294",0,NA,NA,NA,NA
"Root100|4410",0,NA,NA,NA,NA
"Root100|4425",1.74660440812046,0.208856570747697,1.04703021425769,0.215017864188403,0.482285594277792
"Root100|4604",0,NA,NA,NA,NA
"Root100|4607",0,NA,NA,NA,NA
"Root100|4617",0,NA,NA,NA,NA
"Root100|470",0,NA,NA,NA,NA
"Root100|4777",0,NA,NA,NA,NA
"Root100|4923",0,NA,NA,NA,NA
"Root100|4987",0,NA,NA,NA,NA
"Root100|5002",0,NA,NA,NA,NA
"Root100|5026",0,NA,NA,NA,NA
"Root100|641",0,NA,NA,NA,NA
"Root100|696",0,NA,NA,NA,NA
"Root100|722",0,NA,NA,NA,NA
"Root100|740",0,NA,NA,NA,NA
"Root100|753",0,NA,NA,NA,NA
"Root100|954",0,NA,NA,NA,NA
"Root100|959",0,NA,NA,NA,NA
"Root100|1207",0,NA,NA,NA,NA
"Root100|1391",0,NA,NA,NA,NA
"Root100|1521",0,NA,NA,NA,NA
"Root100|1740",0,NA,NA,NA,NA
"Root100|1992",0,NA,NA,NA,NA
"Root100|2162",0,NA,NA,NA,NA
"Root100|2178",0,NA,NA,NA,NA
"Root100|2487",0,NA,NA,NA,NA
"Root100|2537",0,NA,NA,NA,NA
"Root100|2578",0,NA,NA,NA,NA
"Root100|2728",0,NA,NA,NA,NA
"Root100|3104",0,NA,NA,NA,NA
"Root100|3277",0,NA,NA,NA,NA
"Root100|3312",0,NA,NA,NA,NA
"Root100|3322",0,NA,NA,NA,NA
"Root100|3542",0,NA,NA,NA,NA
"Root100|4127",0,NA,NA,NA,NA
"Root100|4244",0,NA,NA,NA,NA
"Root100|4314",0,NA,NA,NA,NA
"Root100|4321",0,NA,NA,NA,NA
"Root100|4402",0,NA,NA,NA,NA
"Root100|4575",0,NA,NA,NA,NA
"Root100|4680",0,NA,NA,NA,NA
"Root100|847",0,NA,NA,NA,NA
"Root100|965",0,NA,NA,NA,NA
"Root100|980",0,NA,NA,NA,NA
"Root100|1135",0,NA,NA,NA,NA
"Root100|1138",4.70392527675581,-0.205758712910466,1.04692395475122,NA,NA
"Root100|1776",0,NA,NA,NA,NA
"Root100|1907",0,NA,NA,NA,NA
"Root100|1947",0,NA,NA,NA,NA
"Root100|1990",0,NA,NA,NA,NA
"Root100|2077",0,NA,NA,NA,NA
"Root100|2418",0,NA,NA,NA,NA
"Root100|278",0,NA,NA,NA,NA
"Root100|2801",0,NA,NA,NA,NA
"Root100|2929",0,NA,NA,NA,NA
"Root100|3163",0,NA,NA,NA,NA
"Root100|3306",0,NA,NA,NA,NA
"Root100|369",0,NA,NA,NA,NA
"Root100|4082",0,NA,NA,NA,NA
"Root100|4582",0,NA,NA,NA,NA
"Root100|489",0,NA,NA,NA,NA
"Root100|521",0,NA,NA,NA,NA
"Root100|553",0,NA,NA,NA,NA
"Root100|619",0,NA,NA,NA,NA
"Root100|898",0,NA,NA,NA,NA
"Root100|1184",0,NA,NA,NA,NA
"Root100|1470",0,NA,NA,NA,NA
"Root100|1502",0,NA,NA,NA,NA
"Root100|1539",0,NA,NA,NA,NA
"Root100|1684",0,NA,NA,NA,NA
"Root100|1750",0,NA,NA,NA,NA
"Root100|1935",0,NA,NA,NA,NA
"Root100|2535",0,NA,NA,NA,NA
"Root100|259",0,NA,NA,NA,NA
"Root100|2596",0,NA,NA,NA,NA
"Root100|276",0,NA,NA,NA,NA
"Root100|2816",0,NA,NA,NA,NA
"Root100|2892",0,NA,NA,NA,NA
"Root100|3085",0,NA,NA,NA,NA
"Root100|3272",1.95208727966405,0.210475254953839,1.04786262565827,0.203641981428442,0.482285594277792
"Root100|3276",0,NA,NA,NA,NA
"Root100|3578",0,NA,NA,NA,NA
"Root100|3733",0,NA,NA,NA,NA
"Root100|3734",0,NA,NA,NA,NA
"Root100|4086",0,NA,NA,NA,NA
"Root100|4247",0,NA,NA,NA,NA
"Root100|4284",0,NA,NA,NA,NA
"Root100|4376",0,NA,NA,NA,NA
"Root100|4409",0,NA,NA,NA,NA
"Root100|4701",0,NA,NA,NA,NA
"Root100|4760",0,NA,NA,NA,NA
"Root100|561",0,NA,NA,NA,NA
"Root100|562",0,NA,NA,NA,NA
"Root100|817",0,NA,NA,NA,NA
"Root100|891",0,NA,NA,NA,NA
"Root100|1032",0,NA,NA,NA,NA
"Root100|1118",0,NA,NA,NA,NA
"Root100|118",0,NA,NA,NA,NA
"Root100|1379",0,NA,NA,NA,NA
"Root100|1681",0,NA,NA,NA,NA
"Root100|1784",0,NA,NA,NA,NA
"Root100|1841",0,NA,NA,NA,NA
"Root100|2228",0,NA,NA,NA,NA
"Root100|2303",0,NA,NA,NA,NA
"Root100|2370",0,NA,NA,NA,NA
"Root100|3360",0,NA,NA,NA,NA
"Root100|3526",0.0498981038362667,-0.0807857202941176,1.01302860374518,0.926247912102324,0.948460092248662
"Root100|3533",0,NA,NA,NA,NA
"Root100|3998",0,NA,NA,NA,NA
"Root100|4031",0,NA,NA,NA,NA
"Root100|4129",0,NA,NA,NA,NA
"Root100|4215",0,NA,NA,NA,NA
"Root100|4238",0,NA,NA,NA,NA
"Root100|4250",0,NA,NA,NA,NA
"Root100|4264",0,NA,NA,NA,NA
"Root100|4750",0,NA,NA,NA,NA
"Root100|4856",0,NA,NA,NA,NA
"Root100|4883",0,NA,NA,NA,NA
"Root100|4893",4.68757091190538,-0.205714420228247,1.04689962666158,0.206405264056699,0.482285594277792
"Root100|4914",0,NA,NA,NA,NA
"Root100|713",0,NA,NA,NA,NA
"Root100|997",0,NA,NA,NA,NA
"Root100|1012",0,NA,NA,NA,NA
"Root100|1122",0,NA,NA,NA,NA
"Root100|1175",0,NA,NA,NA,NA
"Root100|138",0,NA,NA,NA,NA
"Root100|1731",0,NA,NA,NA,NA
"Root100|2532",0,NA,NA,NA,NA
"Root100|2580",0,NA,NA,NA,NA
"Root100|2650",0,NA,NA,NA,NA
"Root100|2719",0,NA,NA,NA,NA
"Root100|3353",0,NA,NA,NA,NA
"Root100|3707",0,NA,NA,NA,NA
"Root100|4063",0,NA,NA,NA,NA
"Root100|4078",0,NA,NA,NA,NA
"Root100|4080",0,NA,NA,NA,NA
"Root100|4252",0,NA,NA,NA,NA
"Root100|692",0,NA,NA,NA,NA
"Root100|90",0,NA,NA,NA,NA
"Root100|1131",0,NA,NA,NA,NA
"Root100|1160",0,NA,NA,NA,NA
"Root100|1503",0,NA,NA,NA,NA
"Root100|1582",0,NA,NA,NA,NA
"Root100|1643",0,NA,NA,NA,NA
"Root100|2037",0,NA,NA,NA,NA
"Root100|2045",0,NA,NA,NA,NA
"Root100|267",0,NA,NA,NA,NA
"Root100|2759",0,NA,NA,NA,NA
"Root100|2908",0,NA,NA,NA,NA
"Root100|3139",0,NA,NA,NA,NA
"Root100|3226",0,NA,NA,NA,NA
"Root100|4222",0,NA,NA,NA,NA
"Root100|4530",0,NA,NA,NA,NA
"Root100|4531",0,NA,NA,NA,NA
"Root100|637",3.11386602827497,-0.199765428597032,1.04377488632896,0.265821390503534,0.508994321726498
"Root100|758",0,NA,NA,NA,NA
"Root100|792",0,NA,NA,NA,NA
"Root100|1130",0,NA,NA,NA,NA
"Root100|1569",0,NA,NA,NA,NA
"Root100|1581",0,NA,NA,NA,NA
"Root100|2012",0,NA,NA,NA,NA
"Root100|2046",0,NA,NA,NA,NA
"Root100|2049",0,NA,NA,NA,NA
"Root100|2760",0,NA,NA,NA,NA
"Root100|2909",0,NA,NA,NA,NA
"Root100|3052",0,NA,NA,NA,NA
"Root100|3227",25.0532336661232,-0.217941330398397,1.05428640749792,1.5516835594651e-08,1.06013737366603e-06
"Root100|3640",0,NA,NA,NA,NA
"Root100|639",0,NA,NA,NA,NA
"Root100|798",0,NA,NA,NA,NA
"Root100|973",0,NA,NA,NA,NA
"Root100|135",0,NA,NA,NA,NA
"Root100|1658",0,NA,NA,NA,NA
"Root100|1772",0,NA,NA,NA,NA
"Root100|1803",0,NA,NA,NA,NA
"Root100|2376",0,NA,NA,NA,NA
"Root100|2555",0,NA,NA,NA,NA
"Root100|2679",0,NA,NA,NA,NA
"Root100|2747",0.648675349871468,-0.164309093417486,1.02974760966854,0.586651332820181,0.706642917619145
"Root100|3315",0,NA,NA,NA,NA
"Root100|3409",0,NA,NA,NA,NA
"Root100|3415",0,NA,NA,NA,NA
"Root100|3540",0,NA,NA,NA,NA
"Root100|3869",0,NA,NA,NA,NA
"Root100|4126",0,NA,NA,NA,NA
"Root100|4420",0,NA,NA,NA,NA
"Root100|4436",0,NA,NA,NA,NA
"Root100|4573",0,NA,NA,NA,NA
"Root100|4600",0,NA,NA,NA,NA
"Root100|4627",0,NA,NA,NA,NA
"Root100|465",0,NA,NA,NA,NA
"Root100|4740",0,NA,NA,NA,NA
"Root100|4748",0,NA,NA,NA,NA
"Root100|4985",0,NA,NA,NA,NA
"Root100|5006",0,NA,NA,NA,NA
"Root100|1033",0,NA,NA,NA,NA
"Root100|1038",0,NA,NA,NA,NA
"Root100|1274",0,NA,NA,NA,NA
"Root100|1376",0,NA,NA,NA,NA
"Root100|1377",0,NA,NA,NA,NA
"Root100|1845",0,NA,NA,NA,NA
"Root100|1846",0,NA,NA,NA,NA
"Root100|1981",0,NA,NA,NA,NA
