ID,roots_weight,cfu/mg,experiment,genotype
308,0.0028,457.1428571,2,PstS
310,0.001,42,2,PstABCS
312,0.0017,15.29411765,2,PstABCS
313,0.0015,38,2,PstABCS
314,0.0015,50,2,PstABCS
315,0.0015,30.66666667,2,PstABCS
316,0.0031,87.09677419,2,PstABCS
317,0.0038,23.94736842,2,PstABCS
318,0.0043,60.46511628,2,PstABCS
319,0.0014,31.42857143,2,PstABCS
320,0.0018,52.77777778,2,PstABCS
